year,Mora
1880,0
1881,6
1882,0
1883,0
1884,0
1885,6
1886,0
1887,10
1888,6
1889,5
1890,6
1891,7
1892,7
1893,0
1894,5
1895,6
1896,10
1897,6
1898,0
1899,0
1900,8
1901,0
1902,7
1903,6
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,9
1913,7
1914,11
1915,13
1916,12
1917,17
1918,8
1919,12
1920,6
1921,12
1922,0
1923,12
1924,6
1925,5
1926,0
1927,11
1928,9
1929,7
1930,0
1931,9
1932,0
1933,5
1934,7
1935,0
1936,5
1937,0
1938,0
1939,7
1940,8
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,6
1950,7
1951,0
1952,8
1953,0
1954,11
1955,8
1956,7
1957,5
1958,6
1959,8
1960,7
1961,10
1962,0
1963,5
1964,6
1965,6
1966,9
1967,9
1968,6
1969,6
1970,10
1971,6
1972,0
1973,7
1974,0
1975,0
1976,9
1977,0
1978,0
1979,5
1980,5
1981,5
1982,0
1983,0
1984,7
1985,0
1986,6
1987,0
1988,5
1989,0
1990,6
1991,0
1992,8
1993,7
1994,9
1995,8
1996,11
1997,0
1998,10
1999,0
2000,7
2001,12
2002,6
2003,8
2004,9
2005,7
2006,13
2007,14
2008,8
2009,14
2010,16
2011,13
2012,9
