year,Martin (F),Martin (M)
1880,0.000000,0.001772
1881,0.000000,0.001697
1882,0.000000,0.001747
1883,0.000000,0.001738
1884,0.000000,0.001581
1885,0.000000,0.001482
1886,0.000000,0.001289
1887,0.000020,0.001338
1888,0.000000,0.001262
1889,0.000000,0.001270
1890,0.000017,0.001151
1891,0.000000,0.001155
1892,0.000000,0.001074
1893,0.000000,0.001067
1894,0.000000,0.000883
1895,0.000000,0.000903
1896,0.000000,0.000959
1897,0.000000,0.000899
1898,0.000018,0.000889
1899,0.000000,0.000766
1900,0.000000,0.000850
1901,0.000014,0.000879
1902,0.000000,0.000840
1903,0.000000,0.000742
1904,0.000000,0.000828
1905,0.000000,0.000783
1906,0.000000,0.000780
1907,0.000013,0.000707
1908,0.000000,0.000677
1909,0.000012,0.000765
1910,0.000012,0.000670
1911,0.000012,0.000880
1912,0.000008,0.001077
1913,0.000009,0.001107
1914,0.000010,0.001183
1915,0.000009,0.001130
1916,0.000006,0.001097
1917,0.000003,0.001165
1918,0.000000,0.001106
1919,0.000007,0.001044
1920,0.000004,0.001079
1921,0.000006,0.001055
1922,0.000006,0.001050
1923,0.000007,0.001065
1924,0.000006,0.001030
1925,0.000006,0.001036
1926,0.000008,0.001087
1927,0.000009,0.001027
1928,0.000008,0.001072
1929,0.000011,0.001054
1930,0.000007,0.001046
1931,0.000006,0.000999
1932,0.000009,0.001068
1933,0.000007,0.001032
1934,0.000006,0.001048
1935,0.000007,0.001013
1936,0.000006,0.001013
1937,0.000006,0.001068
1938,0.000004,0.001045
1939,0.000005,0.000995
1940,0.000004,0.001052
1941,0.000004,0.001069
1942,0.000003,0.001115
1943,0.000003,0.001091
1944,0.000004,0.001029
1945,0.000003,0.001065
1946,0.000003,0.001044
1947,0.000004,0.001034
1948,0.000003,0.001071
1949,0.000003,0.001120
1950,0.000003,0.001195
1951,0.000003,0.001249
1952,0.000004,0.001243
1953,0.000003,0.001240
1954,0.000005,0.001250
1955,0.000005,0.001260
1956,0.000003,0.001377
1957,0.000005,0.001419
1958,0.000003,0.001371
1959,0.000004,0.001287
1960,0.000004,0.001322
1961,0.000005,0.001320
1962,0.000005,0.001374
1963,0.000005,0.001536
1964,0.000008,0.001473
1965,0.000007,0.001362
1966,0.000006,0.001211
1967,0.000006,0.001130
1968,0.000008,0.001206
1969,0.000006,0.001083
1970,0.000005,0.000973
1971,0.000005,0.000879
1972,0.000007,0.000772
1973,0.000006,0.000796
1974,0.000006,0.000780
1975,0.000005,0.000717
1976,0.000005,0.000717
1977,0.000008,0.000679
1978,0.000006,0.000646
1979,0.000007,0.000607
1980,0.000006,0.000646
1981,0.000005,0.000623
1982,0.000008,0.000617
1983,0.000005,0.000627
1984,0.000006,0.000612
1985,0.000006,0.000599
1986,0.000010,0.000668
1987,0.000008,0.000666
1988,0.000005,0.000717
1989,0.000005,0.000728
1990,0.000007,0.000780
1991,0.000004,0.000743
1992,0.000004,0.000763
1993,0.000006,0.000747
1994,0.000003,0.000697
1995,0.000004,0.000654
1996,0.000002,0.000626
1997,0.000002,0.000615
1998,0.000001,0.000562
1999,0.000000,0.000552
2000,0.000000,0.000558
2001,0.000001,0.000550
2002,0.000002,0.000525
2003,0.000000,0.000497
2004,0.000000,0.000487
2005,0.000002,0.000477
2006,0.000001,0.000490
2007,0.000002,0.000470
2008,0.000000,0.000433
2009,0.000000,0.000399
2010,0.000000,0.000361
2011,0.000000,0.000361
2012,0.000000,0.000370
