year,Madelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,8
1892,6
1893,12
1894,10
1895,15
1896,26
1897,20
1898,25
1899,28
1900,39
1901,21
1902,26
1903,47
1904,37
1905,34
1906,57
1907,44
1908,43
1909,69
1910,65
1911,71
1912,125
1913,155
1914,227
1915,209
1916,246
1917,266
1918,275
1919,285
1920,302
1921,331
1922,305
1923,310
1924,316
1925,299
1926,293
1927,266
1928,238
1929,209
1930,187
1931,164
1932,163
1933,139
1934,175
1935,124
1936,113
1937,165
1938,186
1939,211
1940,185
1941,225
1942,278
1943,218
1944,197
1945,174
1946,269
1947,250
1948,244
1949,256
1950,248
1951,223
1952,194
1953,228
1954,204
1955,185
1956,150
1957,179
1958,177
1959,172
1960,141
1961,160
1962,121
1963,114
1964,125
1965,115
1966,92
1967,86
1968,90
1969,95
1970,94
1971,69
1972,97
1973,75
1974,89
1975,83
1976,82
1977,82
1978,98
1979,101
1980,84
1981,70
1982,87
1983,64
1984,51
1985,64
1986,197
1987,181
1988,170
1989,237
1990,284
1991,351
1992,404
1993,474
1994,562
1995,716
1996,865
1997,1160
1998,1928
1999,1894
2000,2684
2001,2844
2002,2856
2003,2984
2004,3017
2005,3027
2006,2947
2007,3214
2008,4566
2009,4494
2010,3615
2011,3599
2012,3783
