year,Margret
1880,24
1881,22
1882,39
1883,30
1884,32
1885,39
1886,25
1887,22
1888,46
1889,28
1890,34
1891,39
1892,33
1893,31
1894,30
1895,36
1896,39
1897,30
1898,34
1899,33
1900,49
1901,32
1902,33
1903,37
1904,37
1905,51
1906,47
1907,51
1908,56
1909,44
1910,67
1911,59
1912,90
1913,84
1914,119
1915,111
1916,162
1917,168
1918,199
1919,177
1920,184
1921,214
1922,197
1923,177
1924,196
1925,173
1926,194
1927,199
1928,163
1929,153
1930,181
1931,135
1932,144
1933,121
1934,113
1935,121
1936,81
1937,123
1938,110
1939,107
1940,103
1941,87
1942,103
1943,108
1944,97
1945,84
1946,106
1947,122
1948,109
1949,141
1950,131
1951,104
1952,130
1953,123
1954,113
1955,100
1956,99
1957,87
1958,96
1959,72
1960,83
1961,91
1962,91
1963,92
1964,102
1965,70
1966,88
1967,79
1968,72
1969,64
1970,63
1971,50
1972,55
1973,58
1974,51
1975,56
1976,47
1977,52
1978,35
1979,37
1980,38
1981,39
1982,32
1983,37
1984,48
1985,32
1986,25
1987,42
1988,40
1989,42
1990,38
1991,24
1992,50
1993,38
1994,37
1995,31
1996,28
1997,37
1998,42
1999,26
2000,35
2001,44
2002,27
2003,33
2004,23
2005,23
2006,8
2007,35
2008,17
2009,18
2010,17
2011,18
2012,17
