year,Merced
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,14
1915,0
1916,7
1917,9
1918,10
1919,21
1920,10
1921,11
1922,15
1923,19
1924,23
1925,15
1926,19
1927,21
1928,13
1929,15
1930,21
1931,6
1932,5
1933,6
1934,12
1935,7
1936,13
1937,10
1938,7
1939,13
1940,14
1941,0
1942,19
1943,0
1944,0
1945,14
1946,6
1947,20
1948,6
1949,11
1950,10
1951,18
1952,11
1953,12
1954,12
1955,6
1956,11
1957,11
1958,0
1959,5
1960,9
1961,12
1962,9
1963,7
1964,6
1965,5
1966,5
1967,5
1968,5
1969,6
1970,8
1971,0
1972,13
1973,10
1974,5
1975,8
1976,8
1977,11
1978,8
1979,7
1980,6
1981,14
1982,10
1983,7
1984,9
1985,6
1986,6
1987,17
1988,8
1989,10
1990,14
1991,14
1992,11
1993,12
1994,18
1995,7
1996,7
1997,6
1998,8
1999,6
2000,13
2001,0
2002,8
2003,8
2004,0
2005,6
2006,0
2007,8
2008,9
2009,0
2010,11
2011,0
2012,0
