year,Myra
1880,83
1881,72
1882,89
1883,81
1884,98
1885,84
1886,96
1887,95
1888,134
1889,121
1890,133
1891,113
1892,113
1893,117
1894,148
1895,127
1896,158
1897,138
1898,143
1899,115
1900,164
1901,115
1902,136
1903,128
1904,119
1905,126
1906,139
1907,142
1908,148
1909,144
1910,155
1911,186
1912,224
1913,305
1914,322
1915,390
1916,427
1917,465
1918,468
1919,461
1920,516
1921,523
1922,468
1923,472
1924,494
1925,502
1926,466
1927,535
1928,520
1929,489
1930,489
1931,511
1932,560
1933,512
1934,593
1935,595
1936,573
1937,642
1938,723
1939,658
1940,749
1941,788
1942,928
1943,891
1944,719
1945,742
1946,824
1947,1141
1948,1088
1949,1013
1950,1032
1951,1028
1952,940
1953,966
1954,959
1955,918
1956,898
1957,1104
1958,1294
1959,1252
1960,1173
1961,1035
1962,906
1963,862
1964,749
1965,639
1966,528
1967,507
1968,509
1969,453
1970,454
1971,450
1972,362
1973,404
1974,384
1975,367
1976,340
1977,345
1978,356
1979,317
1980,367
1981,351
1982,335
1983,323
1984,310
1985,308
1986,328
1987,292
1988,302
1989,270
1990,301
1991,287
1992,273
1993,245
1994,242
1995,226
1996,236
1997,201
1998,228
1999,234
2000,230
2001,233
2002,244
2003,249
2004,226
2005,240
2006,254
2007,231
2008,242
2009,302
2010,263
2011,341
2012,306
