year,Marta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,6
1902,0
1903,8
1904,6
1905,9
1906,9
1907,9
1908,7
1909,0
1910,8
1911,12
1912,19
1913,19
1914,17
1915,24
1916,25
1917,26
1918,29
1919,28
1920,32
1921,30
1922,28
1923,34
1924,46
1925,38
1926,28
1927,38
1928,31
1929,31
1930,28
1931,34
1932,51
1933,58
1934,57
1935,51
1936,69
1937,67
1938,75
1939,69
1940,80
1941,87
1942,88
1943,106
1944,152
1945,112
1946,129
1947,141
1948,145
1949,175
1950,445
1951,408
1952,395
1953,433
1954,419
1955,417
1956,394
1957,444
1958,396
1959,409
1960,346
1961,349
1962,382
1963,373
1964,343
1965,352
1966,329
1967,334
1968,335
1969,271
1970,325
1971,310
1972,235
1973,217
1974,235
1975,238
1976,191
1977,200
1978,222
1979,215
1980,215
1981,260
1982,208
1983,183
1984,174
1985,175
1986,182
1987,133
1988,140
1989,174
1990,176
1991,172
1992,156
1993,131
1994,131
1995,138
1996,140
1997,119
1998,107
1999,110
2000,94
2001,126
2002,107
2003,86
2004,93
2005,90
2006,82
2007,69
2008,74
2009,79
2010,65
2011,65
2012,55
