year,Miranda
1880,0
1881,9
1882,5
1883,7
1884,8
1885,6
1886,7
1887,10
1888,7
1889,11
1890,6
1891,6
1892,10
1893,0
1894,5
1895,6
1896,6
1897,8
1898,7
1899,10
1900,14
1901,0
1902,0
1903,0
1904,0
1905,6
1906,7
1907,0
1908,0
1909,9
1910,6
1911,0
1912,7
1913,5
1914,8
1915,6
1916,14
1917,16
1918,11
1919,11
1920,14
1921,10
1922,7
1923,10
1924,7
1925,13
1926,7
1927,12
1928,0
1929,7
1930,6
1931,0
1932,0
1933,0
1934,9
1935,0
1936,9
1937,6
1938,6
1939,6
1940,7
1941,20
1942,16
1943,17
1944,12
1945,6
1946,20
1947,16
1948,24
1949,19
1950,29
1951,35
1952,33
1953,51
1954,77
1955,72
1956,80
1957,163
1958,113
1959,142
1960,107
1961,136
1962,115
1963,154
1964,109
1965,139
1966,159
1967,167
1968,228
1969,214
1970,217
1971,280
1972,310
1973,326
1974,942
1975,882
1976,1052
1977,1123
1978,1416
1979,1600
1980,2423
1981,2249
1982,2525
1983,2486
1984,2486
1985,2276
1986,2043
1987,1987
1988,1983
1989,2333
1990,2963
1991,3829
1992,3695
1993,3585
1994,5461
1995,5986
1996,4567
1997,4599
1998,4150
1999,3433
2000,3041
2001,2688
2002,2271
2003,2117
2004,2616
2005,2367
2006,2496
2007,2274
2008,2060
2009,1812
2010,1775
2011,1566
2012,1468
