year,Marilyn (F),Marilyn (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000015,0.000000
1900,0.000027,0.000000
1901,0.000017,0.000000
1902,0.000000,0.000000
1903,0.000029,0.000000
1904,0.000015,0.000000
1905,0.000024,0.000000
1906,0.000056,0.000000
1907,0.000037,0.000000
1908,0.000051,0.000000
1909,0.000041,0.000000
1910,0.000030,0.000000
1911,0.000048,0.000000
1912,0.000057,0.000000
1913,0.000051,0.000000
1914,0.000053,0.000000
1915,0.000060,0.000000
1916,0.000075,0.000000
1917,0.000082,0.000000
1918,0.000113,0.000000
1919,0.000191,0.000000
1920,0.000231,0.000000
1921,0.000298,0.000000
1922,0.000741,0.000002
1923,0.000994,0.000000
1924,0.001201,0.000002
1925,0.001464,0.000000
1926,0.001905,0.000004
1927,0.002395,0.000009
1928,0.002684,0.000009
1929,0.003069,0.000015
1930,0.004176,0.000013
1931,0.004594,0.000015
1932,0.005007,0.000018
1933,0.004564,0.000012
1934,0.004519,0.000018
1935,0.004985,0.000016
1936,0.005327,0.000018
1937,0.004570,0.000021
1938,0.004406,0.000016
1939,0.004330,0.000015
1940,0.003779,0.000018
1941,0.003511,0.000013
1942,0.003626,0.000012
1943,0.003595,0.000011
1944,0.003620,0.000008
1945,0.003594,0.000006
1946,0.003352,0.000007
1947,0.003298,0.000007
1948,0.002877,0.000005
1949,0.002833,0.000004
1950,0.002649,0.000004
1951,0.002482,0.000005
1952,0.002583,0.000003
1953,0.002789,0.000006
1954,0.002718,0.000004
1955,0.002095,0.000005
1956,0.001682,0.000006
1957,0.001366,0.000002
1958,0.001197,0.000004
1959,0.001046,0.000003
1960,0.000979,0.000002
1961,0.000917,0.000004
1962,0.000894,0.000003
1963,0.000837,0.000003
1964,0.000719,0.000002
1965,0.000686,0.000004
1966,0.000574,0.000002
1967,0.000577,0.000003
1968,0.000467,0.000002
1969,0.000402,0.000003
1970,0.000348,0.000002
1971,0.000354,0.000002
1972,0.000274,0.000003
1973,0.000256,0.000004
1974,0.000238,0.000002
1975,0.000216,0.000002
1976,0.000214,0.000000
1977,0.000192,0.000000
1978,0.000200,0.000002
1979,0.000168,0.000003
1980,0.000168,0.000000
1981,0.000167,0.000000
1982,0.000166,0.000000
1983,0.000177,0.000000
1984,0.000146,0.000002
1985,0.000146,0.000002
1986,0.000137,0.000001
1987,0.000148,0.000000
1988,0.000148,0.000001
1989,0.000163,0.000002
1990,0.000147,0.000000
1991,0.000150,0.000000
1992,0.000177,0.000000
1993,0.000159,0.000001
1994,0.000149,0.000000
1995,0.000157,0.000001
1996,0.000168,0.000000
1997,0.000156,0.000002
1998,0.000141,0.000000
1999,0.000130,0.000000
2000,0.000138,0.000000
2001,0.000148,0.000000
2002,0.000135,0.000000
2003,0.000135,0.000000
2004,0.000130,0.000000
2005,0.000133,0.000000
2006,0.000151,0.000000
2007,0.000150,0.000000
2008,0.000138,0.000000
2009,0.000136,0.000000
2010,0.000145,0.000000
2011,0.000146,0.000000
2012,0.000204,0.000000
2013,0.000230,0.000000
