year,Marvel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,9
1890,0
1891,15
1892,17
1893,19
1894,13
1895,20
1896,27
1897,25
1898,35
1899,37
1900,42
1901,35
1902,34
1903,29
1904,33
1905,28
1906,43
1907,45
1908,46
1909,43
1910,49
1911,50
1912,69
1913,73
1914,84
1915,146
1916,139
1917,152
1918,161
1919,142
1920,166
1921,148
1922,147
1923,178
1924,171
1925,126
1926,151
1927,151
1928,113
1929,181
1930,148
1931,119
1932,112
1933,97
1934,116
1935,98
1936,81
1937,74
1938,97
1939,66
1940,69
1941,63
1942,72
1943,66
1944,60
1945,55
1946,42
1947,46
1948,53
1949,47
1950,43
1951,45
1952,38
1953,43
1954,30
1955,43
1956,51
1957,34
1958,25
1959,30
1960,17
1961,27
1962,26
1963,25
1964,23
1965,11
1966,24
1967,34
1968,16
1969,22
1970,27
1971,22
1972,19
1973,17
1974,15
1975,17
1976,8
1977,12
1978,16
1979,13
1980,15
1981,9
1982,15
1983,6
1984,7
1985,19
1986,16
1987,7
1988,18
1989,9
1990,27
1991,8
1992,14
1993,15
1994,19
1995,12
1996,13
1997,10
1998,5
1999,8
2000,11
2001,6
2002,12
2003,10
2004,13
2005,11
2006,13
2007,11
2008,16
2009,10
2010,7
2011,13
2012,21
