year,Maree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,8
1898,8
1899,6
1900,6
1901,0
1902,0
1903,0
1904,8
1905,0
1906,9
1907,0
1908,8
1909,0
1910,8
1911,9
1912,6
1913,10
1914,11
1915,19
1916,18
1917,18
1918,26
1919,23
1920,22
1921,17
1922,23
1923,20
1924,17
1925,19
1926,7
1927,9
1928,14
1929,0
1930,5
1931,0
1932,0
1933,7
1934,7
1935,9
1936,11
1937,5
1938,0
1939,0
1940,8
1941,7
1942,9
1943,9
1944,5
1945,9
1946,7
1947,10
1948,10
1949,9
1950,7
1951,12
1952,6
1953,7
1954,9
1955,9
1956,17
1957,10
1958,10
1959,13
1960,8
1961,6
1962,8
1963,8
1964,7
1965,10
1966,6
1967,7
1968,8
1969,8
1970,6
1971,8
1972,7
1973,5
1974,12
1975,8
1976,11
1977,9
1978,6
1979,11
1980,9
1981,6
1982,10
1983,7
1984,11
1985,5
1986,7
1987,11
1988,6
1989,10
1990,16
1991,7
1992,11
1993,8
1994,6
1995,7
1996,10
1997,0
1998,10
1999,9
2000,9
2001,5
2002,16
2003,9
2004,11
2005,11
2006,12
2007,12
2008,5
2009,5
2010,0
2011,9
2012,0
