year,Maud
1880,345
1881,334
1882,432
1883,430
1884,461
1885,429
1886,483
1887,402
1888,469
1889,437
1890,439
1891,366
1892,407
1893,366
1894,333
1895,305
1896,298
1897,270
1898,262
1899,244
1900,286
1901,221
1902,218
1903,176
1904,159
1905,192
1906,181
1907,143
1908,143
1909,122
1910,143
1911,135
1912,149
1913,168
1914,175
1915,182
1916,165
1917,168
1918,182
1919,162
1920,160
1921,131
1922,145
1923,157
1924,133
1925,128
1926,118
1927,109
1928,79
1929,81
1930,69
1931,45
1932,65
1933,49
1934,43
1935,43
1936,30
1937,37
1938,45
1939,16
1940,24
1941,31
1942,20
1943,28
1944,12
1945,21
1946,18
1947,20
1948,13
1949,18
1950,19
1951,21
1952,12
1953,18
1954,13
1955,11
1956,11
1957,10
1958,13
1959,6
1960,11
1961,9
1962,7
1963,0
1964,8
1965,11
1966,6
1967,5
1968,7
1969,9
1970,10
1971,0
1972,8
1973,9
1974,8
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,6
1997,5
1998,0
1999,0
2000,0
2001,5
2002,7
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
