year,Monta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,5
1894,5
1895,6
1896,0
1897,7
1898,10
1899,0
1900,5
1901,7
1902,7
1903,0
1904,6
1905,6
1906,0
1907,6
1908,5
1909,5
1910,7
1911,0
1912,7
1913,0
1914,8
1915,20
1916,15
1917,8
1918,14
1919,20
1920,12
1921,11
1922,15
1923,14
1924,12
1925,20
1926,14
1927,10
1928,15
1929,19
1930,13
1931,14
1932,14
1933,17
1934,25
1935,16
1936,21
1937,18
1938,14
1939,14
1940,14
1941,13
1942,18
1943,17
1944,11
1945,18
1946,16
1947,13
1948,13
1949,18
1950,24
1951,19
1952,31
1953,14
1954,22
1955,22
1956,17
1957,12
1958,16
1959,8
1960,20
1961,9
1962,5
1963,9
1964,16
1965,10
1966,6
1967,5
1968,18
1969,5
1970,8
1971,8
1972,7
1973,15
1974,19
1975,9
1976,18
1977,21
1978,24
1979,17
1980,29
1981,13
1982,14
1983,17
1984,5
1985,13
1986,8
1987,14
1988,17
1989,8
1990,9
1991,12
1992,8
1993,7
1994,6
1995,10
1996,10
1997,6
1998,9
1999,11
2000,8
2001,0
2002,9
2003,0
2004,7
2005,6
2006,8
2007,7
2008,5
2009,6
2010,0
2011,9
2012,0
