year,Mallie
1880,11
1881,9
1882,12
1883,11
1884,16
1885,21
1886,13
1887,23
1888,30
1889,27
1890,27
1891,24
1892,42
1893,29
1894,31
1895,35
1896,32
1897,44
1898,34
1899,32
1900,45
1901,28
1902,35
1903,24
1904,42
1905,42
1906,29
1907,29
1908,41
1909,36
1910,46
1911,38
1912,48
1913,64
1914,64
1915,64
1916,64
1917,56
1918,68
1919,69
1920,63
1921,61
1922,66
1923,54
1924,50
1925,50
1926,55
1927,52
1928,58
1929,40
1930,45
1931,26
1932,34
1933,19
1934,25
1935,28
1936,35
1937,20
1938,33
1939,33
1940,24
1941,19
1942,30
1943,13
1944,10
1945,17
1946,14
1947,15
1948,21
1949,12
1950,17
1951,14
1952,11
1953,14
1954,13
1955,16
1956,12
1957,13
1958,6
1959,7
1960,7
1961,12
1962,6
1963,18
1964,13
1965,6
1966,0
1967,0
1968,10
1969,5
1970,5
1971,9
1972,0
1973,5
1974,7
1975,9
1976,6
1977,5
1978,0
1979,0
1980,0
1981,0
1982,8
1983,0
1984,5
1985,7
1986,7
1987,7
1988,7
1989,10
1990,7
1991,11
1992,7
1993,10
1994,7
1995,7
1996,12
1997,18
1998,15
1999,18
2000,23
2001,22
2002,35
2003,18
2004,35
2005,28
2006,28
2007,38
2008,52
2009,42
2010,39
2011,43
2012,28
