year,Minda
1880,6
1881,5
1882,5
1883,6
1884,5
1885,5
1886,9
1887,7
1888,12
1889,12
1890,6
1891,8
1892,9
1893,6
1894,10
1895,7
1896,9
1897,7
1898,9
1899,8
1900,8
1901,10
1902,5
1903,0
1904,5
1905,0
1906,9
1907,0
1908,0
1909,10
1910,6
1911,6
1912,0
1913,7
1914,0
1915,9
1916,10
1917,8
1918,6
1919,0
1920,6
1921,6
1922,7
1923,0
1924,0
1925,6
1926,7
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,5
1934,7
1935,6
1936,0
1937,5
1938,5
1939,5
1940,7
1941,10
1942,10
1943,8
1944,8
1945,10
1946,11
1947,20
1948,20
1949,17
1950,29
1951,38
1952,33
1953,28
1954,25
1955,33
1956,28
1957,28
1958,31
1959,15
1960,25
1961,23
1962,17
1963,29
1964,30
1965,16
1966,27
1967,23
1968,22
1969,25
1970,38
1971,36
1972,25
1973,33
1974,29
1975,27
1976,36
1977,24
1978,28
1979,31
1980,22
1981,18
1982,16
1983,10
1984,16
1985,13
1986,7
1987,14
1988,11
1989,12
1990,11
1991,14
1992,12
1993,15
1994,12
1995,8
1996,17
1997,0
1998,8
1999,6
2000,0
2001,0
2002,7
2003,5
2004,8
2005,8
2006,0
2007,7
2008,0
2009,5
2010,7
2011,9
2012,0
