year,May
1880,462
1881,451
1882,519
1883,538
1884,564
1885,612
1886,610
1887,653
1888,793
1889,732
1890,756
1891,701
1892,763
1893,699
1894,771
1895,691
1896,671
1897,603
1898,696
1899,571
1900,749
1901,556
1902,570
1903,548
1904,555
1905,536
1906,524
1907,552
1908,515
1909,488
1910,600
1911,546
1912,703
1913,706
1914,783
1915,990
1916,954
1917,962
1918,982
1919,991
1920,973
1921,989
1922,868
1923,873
1924,887
1925,869
1926,779
1927,755
1928,717
1929,594
1930,568
1931,495
1932,450
1933,413
1934,386
1935,361
1936,332
1937,303
1938,279
1939,267
1940,293
1941,259
1942,289
1943,219
1944,232
1945,209
1946,194
1947,234
1948,220
1949,205
1950,189
1951,222
1952,177
1953,172
1954,196
1955,189
1956,172
1957,147
1958,144
1959,141
1960,144
1961,136
1962,126
1963,115
1964,113
1965,115
1966,105
1967,97
1968,101
1969,93
1970,93
1971,112
1972,79
1973,98
1974,89
1975,88
1976,76
1977,85
1978,81
1979,108
1980,134
1981,145
1982,163
1983,137
1984,131
1985,134
1986,122
1987,107
1988,96
1989,107
1990,93
1991,94
1992,81
1993,78
1994,95
1995,82
1996,92
1997,84
1998,69
1999,73
2000,89
2001,91
2002,91
2003,91
2004,85
2005,95
2006,74
2007,92
2008,94
2009,80
2010,107
2011,88
2012,106
