year,Mariano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,6
1898,6
1899,0
1900,8
1901,6
1902,0
1903,5
1904,0
1905,0
1906,0
1907,9
1908,8
1909,13
1910,13
1911,15
1912,35
1913,25
1914,39
1915,37
1916,49
1917,41
1918,41
1919,53
1920,56
1921,63
1922,56
1923,57
1924,62
1925,53
1926,60
1927,52
1928,63
1929,46
1930,57
1931,54
1932,54
1933,38
1934,35
1935,32
1936,31
1937,43
1938,46
1939,33
1940,41
1941,24
1942,41
1943,32
1944,35
1945,39
1946,35
1947,44
1948,37
1949,42
1950,39
1951,48
1952,31
1953,57
1954,57
1955,48
1956,48
1957,44
1958,63
1959,48
1960,49
1961,67
1962,37
1963,61
1964,53
1965,42
1966,51
1967,58
1968,57
1969,47
1970,58
1971,70
1972,70
1973,72
1974,77
1975,72
1976,88
1977,79
1978,73
1979,89
1980,77
1981,76
1982,75
1983,89
1984,70
1985,75
1986,77
1987,92
1988,97
1989,103
1990,93
1991,107
1992,110
1993,138
1994,113
1995,123
1996,93
1997,125
1998,138
1999,180
2000,167
2001,167
2002,156
2003,150
2004,146
2005,182
2006,179
2007,212
2008,166
2009,158
2010,162
2011,206
2012,179
