year,Mollie
1880,283
1881,281
1882,305
1883,301
1884,374
1885,396
1886,421
1887,333
1888,375
1889,402
1890,349
1891,356
1892,411
1893,367
1894,379
1895,382
1896,374
1897,333
1898,357
1899,301
1900,437
1901,324
1902,337
1903,284
1904,336
1905,344
1906,355
1907,361
1908,341
1909,361
1910,399
1911,378
1912,463
1913,506
1914,644
1915,738
1916,650
1917,672
1918,701
1919,638
1920,560
1921,576
1922,538
1923,491
1924,436
1925,418
1926,394
1927,370
1928,364
1929,354
1930,353
1931,334
1932,283
1933,272
1934,284
1935,282
1936,237
1937,226
1938,252
1939,257
1940,241
1941,234
1942,237
1943,242
1944,223
1945,216
1946,205
1947,243
1948,243
1949,229
1950,215
1951,187
1952,241
1953,240
1954,187
1955,184
1956,205
1957,208
1958,186
1959,166
1960,170
1961,148
1962,112
1963,129
1964,173
1965,145
1966,128
1967,141
1968,146
1969,167
1970,196
1971,195
1972,184
1973,170
1974,208
1975,222
1976,204
1977,250
1978,228
1979,274
1980,286
1981,295
1982,329
1983,312
1984,292
1985,387
1986,370
1987,397
1988,419
1989,441
1990,528
1991,535
1992,486
1993,494
1994,454
1995,438
1996,422
1997,418
1998,442
1999,441
2000,448
2001,423
2002,386
2003,410
2004,338
2005,365
2006,363
2007,373
2008,419
2009,419
2010,428
2011,436
2012,436
