year,Marcellus
1880,11
1881,8
1882,6
1883,5
1884,11
1885,11
1886,9
1887,9
1888,9
1889,12
1890,7
1891,7
1892,7
1893,9
1894,10
1895,0
1896,8
1897,9
1898,0
1899,9
1900,11
1901,9
1902,16
1903,14
1904,14
1905,0
1906,14
1907,7
1908,12
1909,11
1910,17
1911,15
1912,24
1913,29
1914,42
1915,55
1916,69
1917,53
1918,56
1919,50
1920,66
1921,53
1922,61
1923,58
1924,57
1925,45
1926,45
1927,51
1928,42
1929,45
1930,49
1931,50
1932,34
1933,24
1934,39
1935,32
1936,33
1937,37
1938,34
1939,27
1940,25
1941,27
1942,37
1943,26
1944,25
1945,26
1946,40
1947,39
1948,35
1949,46
1950,21
1951,37
1952,49
1953,42
1954,63
1955,52
1956,43
1957,41
1958,34
1959,31
1960,50
1961,46
1962,49
1963,39
1964,68
1965,59
1966,60
1967,71
1968,83
1969,87
1970,103
1971,121
1972,96
1973,78
1974,73
1975,93
1976,59
1977,67
1978,65
1979,68
1980,47
1981,64
1982,37
1983,54
1984,84
1985,65
1986,70
1987,93
1988,77
1989,83
1990,107
1991,104
1992,104
1993,117
1994,110
1995,97
1996,101
1997,109
1998,91
1999,91
2000,114
2001,117
2002,98
2003,114
2004,93
2005,106
2006,96
2007,92
2008,105
2009,99
2010,91
2011,86
2012,85
