year,Mona
1880,14
1881,14
1882,11
1883,16
1884,18
1885,17
1886,31
1887,22
1888,32
1889,29
1890,33
1891,44
1892,47
1893,58
1894,54
1895,53
1896,56
1897,59
1898,61
1899,57
1900,69
1901,42
1902,55
1903,59
1904,73
1905,80
1906,71
1907,70
1908,85
1909,87
1910,101
1911,105
1912,156
1913,174
1914,212
1915,265
1916,253
1917,313
1918,245
1919,253
1920,262
1921,301
1922,274
1923,292
1924,328
1925,323
1926,368
1927,376
1928,422
1929,498
1930,540
1931,497
1932,613
1933,620
1934,635
1935,674
1936,656
1937,629
1938,640
1939,529
1940,470
1941,444
1942,419
1943,358
1944,342
1945,366
1946,427
1947,446
1948,456
1949,513
1950,1085
1951,1107
1952,950
1953,1063
1954,1189
1955,1095
1956,1187
1957,1233
1958,1090
1959,1180
1960,1079
1961,1093
1962,965
1963,1010
1964,890
1965,872
1966,902
1967,686
1968,605
1969,694
1970,630
1971,460
1972,454
1973,363
1974,304
1975,271
1976,258
1977,219
1978,233
1979,188
1980,154
1981,179
1982,166
1983,151
1984,122
1985,153
1986,160
1987,140
1988,141
1989,139
1990,126
1991,154
1992,129
1993,124
1994,102
1995,112
1996,151
1997,113
1998,111
1999,105
2000,126
2001,97
2002,97
2003,88
2004,82
2005,104
2006,92
2007,88
2008,92
2009,73
2010,88
2011,91
2012,74
