year,Manny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,0
1908,5
1909,5
1910,5
1911,6
1912,19
1913,11
1914,18
1915,17
1916,24
1917,22
1918,13
1919,17
1920,27
1921,16
1922,14
1923,11
1924,14
1925,14
1926,16
1927,11
1928,14
1929,15
1930,13
1931,8
1932,9
1933,16
1934,11
1935,15
1936,18
1937,11
1938,14
1939,9
1940,9
1941,16
1942,21
1943,16
1944,18
1945,17
1946,18
1947,27
1948,15
1949,25
1950,21
1951,13
1952,25
1953,18
1954,19
1955,22
1956,28
1957,44
1958,46
1959,37
1960,46
1961,51
1962,45
1963,49
1964,46
1965,33
1966,34
1967,30
1968,16
1969,37
1970,38
1971,30
1972,32
1973,36
1974,45
1975,36
1976,39
1977,36
1978,39
1979,39
1980,30
1981,42
1982,31
1983,39
1984,27
1985,39
1986,34
1987,50
1988,40
1989,44
1990,49
1991,47
1992,54
1993,46
1994,30
1995,38
1996,49
1997,46
1998,36
1999,50
2000,51
2001,52
2002,50
2003,49
2004,49
2005,57
2006,65
2007,72
2008,89
2009,113
2010,96
2011,80
2012,67
