year,Maida
1880,0
1881,0
1882,0
1883,8
1884,0
1885,0
1886,8
1887,6
1888,12
1889,10
1890,6
1891,11
1892,9
1893,5
1894,12
1895,12
1896,10
1897,10
1898,17
1899,9
1900,14
1901,8
1902,10
1903,11
1904,10
1905,15
1906,13
1907,18
1908,9
1909,11
1910,7
1911,16
1912,15
1913,21
1914,24
1915,32
1916,56
1917,46
1918,57
1919,56
1920,46
1921,39
1922,54
1923,29
1924,48
1925,40
1926,40
1927,31
1928,22
1929,31
1930,16
1931,38
1932,20
1933,33
1934,17
1935,21
1936,17
1937,19
1938,18
1939,16
1940,37
1941,29
1942,33
1943,37
1944,32
1945,28
1946,22
1947,22
1948,27
1949,25
1950,26
1951,22
1952,26
1953,18
1954,28
1955,25
1956,17
1957,18
1958,16
1959,16
1960,23
1961,15
1962,20
1963,14
1964,7
1965,10
1966,11
1967,13
1968,10
1969,10
1970,18
1971,18
1972,9
1973,19
1974,11
1975,22
1976,12
1977,19
1978,14
1979,17
1980,21
1981,14
1982,14
1983,9
1984,12
1985,12
1986,11
1987,17
1988,15
1989,14
1990,10
1991,8
1992,5
1993,0
1994,10
1995,8
1996,7
1997,10
1998,11
1999,15
2000,12
2001,12
2002,12
2003,19
2004,15
2005,13
2006,17
2007,22
2008,20
2009,23
2010,16
2011,23
2012,21
