year,Macon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,5
1903,0
1904,7
1905,0
1906,7
1907,0
1908,7
1909,5
1910,0
1911,5
1912,14
1913,17
1914,24
1915,20
1916,34
1917,30
1918,24
1919,26
1920,43
1921,36
1922,21
1923,26
1924,18
1925,23
1926,18
1927,19
1928,11
1929,18
1930,14
1931,18
1932,20
1933,13
1934,23
1935,15
1936,15
1937,18
1938,18
1939,10
1940,16
1941,24
1942,21
1943,14
1944,20
1945,15
1946,24
1947,17
1948,13
1949,15
1950,10
1951,18
1952,16
1953,13
1954,17
1955,7
1956,9
1957,11
1958,9
1959,11
1960,6
1961,11
1962,11
1963,8
1964,14
1965,11
1966,9
1967,11
1968,7
1969,7
1970,11
1971,8
1972,5
1973,8
1974,6
1975,9
1976,17
1977,28
1978,14
1979,12
1980,13
1981,17
1982,6
1983,7
1984,5
1985,14
1986,7
1987,10
1988,18
1989,17
1990,22
1991,15
1992,28
1993,19
1994,15
1995,20
1996,15
1997,20
1998,18
1999,21
2000,18
2001,30
2002,17
2003,25
2004,25
2005,34
2006,31
2007,26
2008,29
2009,35
2010,33
2011,34
2012,36
