year,Manuela
1880,5
1881,7
1882,8
1883,8
1884,10
1885,9
1886,7
1887,8
1888,6
1889,8
1890,13
1891,6
1892,15
1893,15
1894,14
1895,20
1896,18
1897,16
1898,21
1899,25
1900,41
1901,23
1902,24
1903,29
1904,32
1905,37
1906,43
1907,43
1908,38
1909,58
1910,61
1911,56
1912,71
1913,76
1914,89
1915,111
1916,122
1917,104
1918,151
1919,158
1920,200
1921,197
1922,184
1923,169
1924,201
1925,197
1926,196
1927,196
1928,198
1929,173
1930,162
1931,143
1932,124
1933,132
1934,103
1935,100
1936,104
1937,102
1938,92
1939,94
1940,86
1941,94
1942,92
1943,100
1944,107
1945,111
1946,118
1947,124
1948,145
1949,110
1950,125
1951,69
1952,76
1953,105
1954,74
1955,58
1956,72
1957,89
1958,78
1959,66
1960,70
1961,61
1962,77
1963,63
1964,59
1965,55
1966,39
1967,71
1968,73
1969,68
1970,55
1971,62
1972,52
1973,62
1974,66
1975,72
1976,78
1977,72
1978,69
1979,65
1980,82
1981,68
1982,61
1983,52
1984,75
1985,64
1986,53
1987,55
1988,45
1989,40
1990,50
1991,72
1992,96
1993,69
1994,63
1995,58
1996,64
1997,87
1998,66
1999,56
2000,66
2001,82
2002,84
2003,77
2004,80
2005,64
2006,80
2007,68
2008,76
2009,61
2010,62
2011,73
2012,62
