year,Mari
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,11
1915,11
1916,14
1917,15
1918,20
1919,17
1920,22
1921,20
1922,29
1923,16
1924,28
1925,20
1926,25
1927,17
1928,23
1929,20
1930,23
1931,21
1932,18
1933,25
1934,33
1935,33
1936,44
1937,34
1938,40
1939,55
1940,40
1941,60
1942,63
1943,87
1944,94
1945,90
1946,122
1947,132
1948,163
1949,162
1950,226
1951,223
1952,245
1953,317
1954,362
1955,343
1956,361
1957,413
1958,343
1959,342
1960,342
1961,346
1962,346
1963,329
1964,339
1965,303
1966,257
1967,274
1968,235
1969,217
1970,226
1971,210
1972,185
1973,190
1974,180
1975,152
1976,138
1977,136
1978,135
1979,181
1980,176
1981,199
1982,202
1983,179
1984,173
1985,163
1986,164
1987,161
1988,199
1989,198
1990,204
1991,173
1992,184
1993,149
1994,185
1995,188
1996,173
1997,168
1998,170
1999,165
2000,145
2001,162
2002,157
2003,148
2004,167
2005,155
2006,161
2007,143
2008,123
2009,139
2010,126
2011,125
2012,120
