year,Mart
1880,8
1881,7
1882,7
1883,0
1884,7
1885,6
1886,0
1887,5
1888,7
1889,0
1890,6
1891,10
1892,9
1893,6
1894,0
1895,5
1896,5
1897,6
1898,8
1899,0
1900,0
1901,0
1902,7
1903,6
1904,5
1905,0
1906,0
1907,0
1908,0
1909,6
1910,5
1911,5
1912,8
1913,0
1914,12
1915,15
1916,7
1917,11
1918,11
1919,19
1920,18
1921,20
1922,22
1923,8
1924,15
1925,12
1926,20
1927,9
1928,13
1929,14
1930,10
1931,6
1932,13
1933,16
1934,12
1935,6
1936,9
1937,8
1938,7
1939,8
1940,7
1941,8
1942,5
1943,8
1944,8
1945,9
1946,13
1947,13
1948,12
1949,19
1950,11
1951,13
1952,12
1953,16
1954,23
1955,25
1956,15
1957,17
1958,28
1959,21
1960,19
1961,14
1962,21
1963,23
1964,18
1965,17
1966,11
1967,13
1968,5
1969,12
1970,12
1971,10
1972,15
1973,6
1974,13
1975,10
1976,8
1977,6
1978,6
1979,5
1980,5
1981,0
1982,5
1983,6
1984,0
1985,7
1986,0
1987,9
1988,5
1989,0
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
