year,Minor
1880,21
1881,14
1882,9
1883,10
1884,16
1885,9
1886,18
1887,14
1888,12
1889,6
1890,14
1891,8
1892,17
1893,16
1894,12
1895,7
1896,11
1897,10
1898,0
1899,0
1900,8
1901,6
1902,9
1903,8
1904,0
1905,9
1906,9
1907,15
1908,5
1909,10
1910,11
1911,11
1912,24
1913,17
1914,31
1915,30
1916,34
1917,41
1918,41
1919,34
1920,42
1921,37
1922,39
1923,44
1924,39
1925,42
1926,24
1927,35
1928,17
1929,25
1930,24
1931,22
1932,24
1933,23
1934,20
1935,22
1936,22
1937,16
1938,14
1939,19
1940,20
1941,17
1942,30
1943,21
1944,25
1945,21
1946,15
1947,11
1948,18
1949,25
1950,13
1951,21
1952,11
1953,10
1954,14
1955,15
1956,21
1957,12
1958,6
1959,10
1960,5
1961,12
1962,10
1963,9
1964,16
1965,10
1966,7
1967,9
1968,0
1969,9
1970,12
1971,9
1972,6
1973,5
1974,10
1975,0
1976,6
1977,8
1978,9
1979,0
1980,0
1981,0
1982,5
1983,6
1984,5
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,8
1992,8
1993,0
1994,0
1995,6
1996,6
1997,0
1998,0
1999,0
2000,7
2001,0
2002,7
2003,6
2004,0
2005,9
2006,10
2007,9
2008,5
2009,0
2010,5
2011,0
2012,0
