year,Madalene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,6
1893,6
1894,0
1895,5
1896,0
1897,7
1898,10
1899,8
1900,9
1901,6
1902,9
1903,6
1904,9
1905,7
1906,7
1907,11
1908,12
1909,12
1910,14
1911,7
1912,20
1913,20
1914,32
1915,42
1916,24
1917,44
1918,33
1919,49
1920,49
1921,33
1922,34
1923,39
1924,27
1925,29
1926,20
1927,30
1928,18
1929,13
1930,17
1931,16
1932,15
1933,13
1934,12
1935,7
1936,15
1937,8
1938,14
1939,5
1940,14
1941,13
1942,15
1943,12
1944,6
1945,9
1946,11
1947,10
1948,13
1949,17
1950,0
1951,11
1952,6
1953,15
1954,11
1955,6
1956,14
1957,0
1958,9
1959,9
1960,6
1961,9
1962,5
1963,5
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,0
1972,6
1973,6
1974,6
1975,0
1976,0
1977,0
1978,5
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,6
1989,15
1990,10
1991,5
1992,10
1993,6
1994,7
1995,9
1996,9
1997,14
1998,15
1999,10
2000,7
2001,15
2002,17
2003,13
2004,11
2005,17
2006,14
2007,7
2008,11
2009,10
2010,9
2011,7
2012,5
