year,Madolyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,5
1899,0
1900,0
1901,5
1902,7
1903,6
1904,7
1905,5
1906,8
1907,12
1908,0
1909,5
1910,9
1911,14
1912,17
1913,15
1914,30
1915,29
1916,27
1917,30
1918,31
1919,25
1920,35
1921,45
1922,28
1923,35
1924,24
1925,30
1926,27
1927,22
1928,13
1929,15
1930,17
1931,19
1932,23
1933,19
1934,16
1935,13
1936,15
1937,15
1938,16
1939,7
1940,15
1941,27
1942,17
1943,15
1944,18
1945,19
1946,9
1947,15
1948,15
1949,13
1950,16
1951,11
1952,12
1953,16
1954,7
1955,11
1956,6
1957,11
1958,13
1959,0
1960,7
1961,0
1962,7
1963,6
1964,10
1965,0
1966,6
1967,5
1968,6
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,5
1986,13
1987,9
1988,6
1989,9
1990,17
1991,16
1992,18
1993,15
1994,15
1995,22
1996,19
1997,24
1998,32
1999,27
2000,39
2001,34
2002,29
2003,26
2004,30
2005,37
2006,26
2007,34
2008,27
2009,18
2010,24
2011,13
2012,13
