year,Mannie
1880,0
1881,14
1882,7
1883,11
1884,13
1885,6
1886,17
1887,5
1888,10
1889,8
1890,9
1891,6
1892,20
1893,8
1894,7
1895,21
1896,12
1897,14
1898,12
1899,0
1900,27
1901,13
1902,18
1903,13
1904,13
1905,7
1906,0
1907,10
1908,13
1909,15
1910,18
1911,15
1912,18
1913,29
1914,22
1915,32
1916,35
1917,42
1918,35
1919,32
1920,36
1921,35
1922,28
1923,24
1924,32
1925,28
1926,23
1927,32
1928,22
1929,21
1930,19
1931,18
1932,32
1933,15
1934,21
1935,18
1936,9
1937,30
1938,21
1939,12
1940,10
1941,18
1942,15
1943,7
1944,11
1945,11
1946,20
1947,13
1948,10
1949,20
1950,7
1951,6
1952,18
1953,19
1954,9
1955,7
1956,16
1957,10
1958,8
1959,8
1960,8
1961,12
1962,5
1963,8
1964,0
1965,8
1966,10
1967,6
1968,9
1969,6
1970,6
1971,8
1972,0
1973,0
1974,0
1975,0
1976,8
1977,0
1978,7
1979,0
1980,8
1981,5
1982,7
1983,0
1984,0
1985,0
1986,0
1987,7
1988,6
1989,0
1990,0
1991,6
1992,5
1993,0
1994,0
1995,0
1996,0
1997,5
1998,0
1999,6
2000,0
2001,0
2002,6
2003,0
2004,0
2005,7
2006,7
2007,0
2008,5
2009,0
2010,5
2011,8
2012,10
