year,Mandie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,6
1889,7
1890,0
1891,6
1892,0
1893,0
1894,7
1895,5
1896,0
1897,8
1898,7
1899,0
1900,0
1901,5
1902,8
1903,10
1904,5
1905,0
1906,5
1907,5
1908,7
1909,7
1910,5
1911,11
1912,16
1913,14
1914,13
1915,13
1916,9
1917,19
1918,14
1919,11
1920,8
1921,9
1922,10
1923,5
1924,13
1925,7
1926,9
1927,0
1928,7
1929,8
1930,7
1931,7
1932,0
1933,7
1934,8
1935,0
1936,0
1937,9
1938,6
1939,10
1940,6
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,8
1957,8
1958,0
1959,0
1960,8
1961,9
1962,5
1963,13
1964,8
1965,7
1966,10
1967,7
1968,9
1969,10
1970,13
1971,13
1972,24
1973,18
1974,33
1975,200
1976,176
1977,154
1978,153
1979,129
1980,113
1981,98
1982,81
1983,79
1984,61
1985,68
1986,60
1987,59
1988,76
1989,45
1990,45
1991,43
1992,41
1993,38
1994,33
1995,31
1996,29
1997,23
1998,25
1999,18
2000,18
2001,20
2002,21
2003,27
2004,25
2005,18
2006,15
2007,17
2008,11
2009,11
2010,18
2011,6
2012,10
