year,Mina
1880,73
1881,62
1882,76
1883,89
1884,56
1885,82
1886,80
1887,61
1888,104
1889,90
1890,95
1891,119
1892,105
1893,105
1894,103
1895,94
1896,107
1897,92
1898,104
1899,85
1900,92
1901,83
1902,73
1903,86
1904,75
1905,72
1906,78
1907,66
1908,64
1909,67
1910,71
1911,91
1912,93
1913,120
1914,109
1915,156
1916,178
1917,172
1918,153
1919,145
1920,143
1921,127
1922,137
1923,134
1924,119
1925,124
1926,120
1927,126
1928,101
1929,105
1930,111
1931,91
1932,103
1933,80
1934,92
1935,82
1936,65
1937,77
1938,87
1939,76
1940,83
1941,66
1942,78
1943,62
1944,68
1945,59
1946,70
1947,70
1948,71
1949,73
1950,53
1951,60
1952,50
1953,60
1954,63
1955,71
1956,64
1957,57
1958,56
1959,44
1960,49
1961,47
1962,55
1963,39
1964,50
1965,43
1966,52
1967,66
1968,64
1969,54
1970,37
1971,36
1972,43
1973,42
1974,42
1975,44
1976,43
1977,45
1978,39
1979,58
1980,60
1981,66
1982,73
1983,62
1984,75
1985,69
1986,61
1987,97
1988,74
1989,89
1990,76
1991,95
1992,88
1993,123
1994,173
1995,141
1996,153
1997,188
1998,163
1999,179
2000,188
2001,210
2002,251
2003,231
2004,292
2005,294
2006,274
2007,303
2008,321
2009,338
2010,282
2011,351
2012,341
