year,Mathis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,8
1914,6
1915,6
1916,10
1917,8
1918,0
1919,5
1920,12
1921,9
1922,13
1923,12
1924,5
1925,13
1926,0
1927,6
1928,9
1929,5
1930,7
1931,7
1932,5
1933,8
1934,5
1935,6
1936,0
1937,0
1938,9
1939,0
1940,7
1941,7
1942,8
1943,10
1944,9
1945,8
1946,5
1947,7
1948,8
1949,5
1950,16
1951,20
1952,10
1953,7
1954,8
1955,8
1956,6
1957,5
1958,14
1959,13
1960,7
1961,8
1962,13
1963,8
1964,10
1965,8
1966,7
1967,6
1968,10
1969,6
1970,8
1971,9
1972,0
1973,0
1974,5
1975,11
1976,8
1977,8
1978,11
1979,10
1980,6
1981,14
1982,11
1983,10
1984,12
1985,9
1986,6
1987,12
1988,12
1989,8
1990,8
1991,8
1992,6
1993,0
1994,11
1995,5
1996,13
1997,7
1998,11
1999,14
2000,15
2001,25
2002,19
2003,25
2004,20
2005,26
2006,23
2007,35
2008,42
2009,39
2010,36
2011,41
2012,58
