year,Maura
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,0
1915,6
1916,7
1917,5
1918,8
1919,6
1920,16
1921,14
1922,11
1923,8
1924,17
1925,19
1926,8
1927,11
1928,10
1929,11
1930,13
1931,14
1932,22
1933,22
1934,24
1935,32
1936,20
1937,16
1938,25
1939,24
1940,30
1941,35
1942,32
1943,37
1944,42
1945,43
1946,57
1947,65
1948,99
1949,92
1950,81
1951,119
1952,160
1953,140
1954,209
1955,216
1956,250
1957,287
1958,294
1959,312
1960,332
1961,366
1962,366
1963,417
1964,429
1965,385
1966,348
1967,337
1968,345
1969,325
1970,271
1971,262
1972,240
1973,216
1974,207
1975,174
1976,194
1977,194
1978,190
1979,229
1980,232
1981,236
1982,284
1983,248
1984,221
1985,267
1986,273
1987,271
1988,315
1989,349
1990,349
1991,374
1992,313
1993,311
1994,297
1995,303
1996,310
1997,360
1998,335
1999,310
2000,308
2001,372
2002,300
2003,316
2004,357
2005,318
2006,289
2007,231
2008,215
2009,195
2010,193
2011,180
2012,177
