year,Mackie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,8
1892,0
1893,5
1894,0
1895,0
1896,0
1897,7
1898,8
1899,0
1900,7
1901,0
1902,6
1903,0
1904,7
1905,7
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,8
1913,6
1914,8
1915,7
1916,19
1917,9
1918,16
1919,15
1920,25
1921,15
1922,13
1923,15
1924,13
1925,27
1926,26
1927,24
1928,20
1929,24
1930,20
1931,23
1932,29
1933,28
1934,32
1935,30
1936,36
1937,31
1938,33
1939,26
1940,29
1941,32
1942,44
1943,38
1944,41
1945,35
1946,44
1947,35
1948,30
1949,34
1950,32
1951,28
1952,24
1953,37
1954,32
1955,31
1956,21
1957,23
1958,14
1959,17
1960,17
1961,12
1962,8
1963,7
1964,14
1965,15
1966,9
1967,14
1968,9
1969,10
1970,8
1971,7
1972,7
1973,5
1974,9
1975,9
1976,7
1977,7
1978,8
1979,0
1980,10
1981,0
1982,0
1983,0
1984,0
1985,0
1986,7
1987,7
1988,5
1989,5
1990,0
1991,10
1992,0
1993,5
1994,0
1995,7
1996,0
1997,0
1998,0
1999,5
2000,0
2001,6
2002,0
2003,0
2004,0
2005,0
2006,12
2007,5
2008,6
2009,6
2010,0
2011,7
2012,5
