year,Melba
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,7
1894,15
1895,19
1896,33
1897,36
1898,60
1899,46
1900,44
1901,36
1902,35
1903,45
1904,61
1905,102
1906,98
1907,113
1908,106
1909,123
1910,160
1911,146
1912,218
1913,274
1914,352
1915,493
1916,581
1917,701
1918,822
1919,791
1920,907
1921,919
1922,929
1923,922
1924,1003
1925,938
1926,917
1927,898
1928,868
1929,823
1930,862
1931,779
1932,872
1933,780
1934,773
1935,757
1936,728
1937,789
1938,850
1939,781
1940,731
1941,722
1942,647
1943,597
1944,565
1945,503
1946,529
1947,522
1948,454
1949,427
1950,394
1951,422
1952,368
1953,461
1954,437
1955,405
1956,357
1957,388
1958,294
1959,265
1960,255
1961,237
1962,188
1963,184
1964,141
1965,144
1966,125
1967,104
1968,82
1969,77
1970,94
1971,87
1972,113
1973,85
1974,65
1975,69
1976,64
1977,51
1978,61
1979,47
1980,46
1981,39
1982,35
1983,36
1984,28
1985,18
1986,28
1987,35
1988,23
1989,22
1990,23
1991,18
1992,17
1993,10
1994,16
1995,10
1996,9
1997,8
1998,9
1999,9
2000,17
2001,6
2002,7
2003,0
2004,8
2005,0
2006,0
2007,0
2008,6
2009,6
2010,0
2011,0
2012,0
