year,Madelaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,9
1902,0
1903,0
1904,0
1905,0
1906,7
1907,5
1908,0
1909,0
1910,0
1911,6
1912,6
1913,8
1914,10
1915,13
1916,12
1917,14
1918,5
1919,14
1920,16
1921,14
1922,19
1923,20
1924,14
1925,20
1926,15
1927,16
1928,18
1929,11
1930,9
1931,11
1932,0
1933,5
1934,7
1935,0
1936,0
1937,7
1938,10
1939,7
1940,9
1941,12
1942,57
1943,32
1944,26
1945,19
1946,24
1947,52
1948,33
1949,40
1950,23
1951,26
1952,20
1953,14
1954,21
1955,21
1956,15
1957,11
1958,14
1959,14
1960,7
1961,11
1962,10
1963,10
1964,6
1965,0
1966,8
1967,6
1968,10
1969,14
1970,10
1971,18
1972,20
1973,6
1974,11
1975,14
1976,9
1977,8
1978,7
1979,8
1980,13
1981,9
1982,14
1983,12
1984,14
1985,15
1986,25
1987,26
1988,39
1989,46
1990,65
1991,81
1992,69
1993,80
1994,109
1995,108
1996,113
1997,108
1998,119
1999,87
2000,98
2001,97
2002,91
2003,82
2004,71
2005,59
2006,53
2007,69
2008,73
2009,41
2010,60
2011,52
2012,42
