year,Murry
1880,0
1881,0
1882,5
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,8
1893,8
1894,0
1895,11
1896,13
1897,6
1898,10
1899,14
1900,12
1901,5
1902,12
1903,7
1904,8
1905,10
1906,10
1907,7
1908,14
1909,10
1910,16
1911,20
1912,26
1913,35
1914,42
1915,66
1916,63
1917,99
1918,70
1919,80
1920,66
1921,70
1922,79
1923,70
1924,81
1925,69
1926,79
1927,71
1928,69
1929,62
1930,68
1931,57
1932,56
1933,40
1934,34
1935,49
1936,40
1937,35
1938,43
1939,47
1940,36
1941,48
1942,55
1943,33
1944,33
1945,29
1946,31
1947,50
1948,50
1949,35
1950,48
1951,38
1952,51
1953,48
1954,46
1955,51
1956,21
1957,39
1958,24
1959,32
1960,33
1961,30
1962,36
1963,26
1964,29
1965,14
1966,17
1967,23
1968,16
1969,18
1970,16
1971,16
1972,17
1973,12
1974,8
1975,13
1976,8
1977,8
1978,10
1979,11
1980,7
1981,12
1982,14
1983,11
1984,7
1985,6
1986,10
1987,6
1988,0
1989,5
1990,5
1991,11
1992,0
1993,5
1994,0
1995,8
1996,6
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
