year,Miles
1880,54
1881,40
1882,44
1883,42
1884,39
1885,52
1886,36
1887,35
1888,43
1889,33
1890,47
1891,44
1892,47
1893,35
1894,56
1895,33
1896,42
1897,44
1898,59
1899,36
1900,55
1901,37
1902,45
1903,44
1904,45
1905,36
1906,24
1907,41
1908,44
1909,42
1910,53
1911,50
1912,93
1913,119
1914,127
1915,186
1916,217
1917,232
1918,245
1919,261
1920,231
1921,232
1922,296
1923,239
1924,233
1925,244
1926,244
1927,221
1928,220
1929,185
1930,165
1931,168
1932,197
1933,157
1934,154
1935,161
1936,179
1937,147
1938,164
1939,165
1940,151
1941,161
1942,174
1943,154
1944,156
1945,161
1946,202
1947,272
1948,276
1949,284
1950,324
1951,300
1952,305
1953,293
1954,355
1955,319
1956,318
1957,314
1958,327
1959,320
1960,332
1961,323
1962,386
1963,331
1964,316
1965,291
1966,215
1967,203
1968,211
1969,226
1970,231
1971,206
1972,206
1973,207
1974,207
1975,227
1976,200
1977,227
1978,232
1979,311
1980,298
1981,300
1982,408
1983,347
1984,416
1985,457
1986,785
1987,840
1988,895
1989,957
1990,993
1991,986
1992,1028
1993,1073
1994,948
1995,796
1996,830
1997,943
1998,1179
1999,1053
2000,1309
2001,1384
2002,1422
2003,1519
2004,1588
2005,1762
2006,1937
2007,2139
2008,2365
2009,2410
2010,2871
2011,3360
2012,3266
