year,Mercy
1880,0
1881,9
1882,7
1883,5
1884,5
1885,0
1886,6
1887,6
1888,5
1889,10
1890,0
1891,6
1892,7
1893,5
1894,0
1895,0
1896,7
1897,0
1898,0
1899,0
1900,7
1901,5
1902,7
1903,7
1904,9
1905,5
1906,0
1907,5
1908,6
1909,10
1910,10
1911,12
1912,10
1913,11
1914,22
1915,14
1916,29
1917,25
1918,25
1919,34
1920,28
1921,27
1922,27
1923,25
1924,45
1925,35
1926,33
1927,43
1928,45
1929,51
1930,42
1931,30
1932,35
1933,27
1934,47
1935,37
1936,38
1937,41
1938,34
1939,37
1940,37
1941,41
1942,46
1943,38
1944,41
1945,41
1946,45
1947,40
1948,39
1949,29
1950,37
1951,44
1952,44
1953,52
1954,68
1955,55
1956,42
1957,50
1958,57
1959,45
1960,52
1961,33
1962,33
1963,42
1964,44
1965,32
1966,31
1967,30
1968,27
1969,47
1970,49
1971,51
1972,53
1973,56
1974,69
1975,70
1976,38
1977,52
1978,35
1979,57
1980,50
1981,49
1982,46
1983,40
1984,34
1985,44
1986,33
1987,40
1988,42
1989,43
1990,53
1991,50
1992,47
1993,52
1994,58
1995,69
1996,85
1997,102
1998,72
1999,87
2000,117
2001,131
2002,110
2003,153
2004,149
2005,159
2006,163
2007,176
2008,181
2009,190
2010,204
2011,243
2012,253
