year,Marva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,7
1915,10
1916,12
1917,10
1918,16
1919,20
1920,24
1921,31
1922,25
1923,35
1924,37
1925,44
1926,39
1927,43
1928,60
1929,56
1930,69
1931,57
1932,57
1933,60
1934,74
1935,187
1936,357
1937,343
1938,331
1939,318
1940,297
1941,338
1942,276
1943,322
1944,315
1945,264
1946,288
1947,327
1948,371
1949,318
1950,316
1951,329
1952,242
1953,295
1954,282
1955,260
1956,252
1957,214
1958,173
1959,213
1960,171
1961,151
1962,172
1963,144
1964,141
1965,126
1966,110
1967,105
1968,109
1969,115
1970,113
1971,94
1972,69
1973,59
1974,65
1975,46
1976,31
1977,37
1978,24
1979,33
1980,35
1981,30
1982,34
1983,34
1984,33
1985,23
1986,16
1987,26
1988,23
1989,28
1990,22
1991,19
1992,13
1993,16
1994,9
1995,9
1996,10
1997,6
1998,0
1999,6
2000,5
2001,0
2002,9
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
