year,Marie (F),Marie (M)
1880,0.002338,0.000000
1881,0.002590,0.000000
1882,0.002668,0.000000
1883,0.002867,0.000000
1884,0.003064,0.000000
1885,0.003674,0.000021
1886,0.003870,0.000000
1887,0.004018,0.000000
1888,0.004201,0.000027
1889,0.004970,0.000028
1890,0.005186,0.000030
1891,0.005567,0.000031
1892,0.006179,0.000018
1893,0.006801,0.000031
1894,0.007821,0.000021
1895,0.008578,0.000026
1896,0.008635,0.000020
1897,0.008871,0.000035
1898,0.009005,0.000026
1899,0.009303,0.000027
1900,0.008562,0.000038
1901,0.009129,0.000035
1902,0.008851,0.000039
1903,0.009100,0.000026
1904,0.008910,0.000020
1905,0.008593,0.000021
1906,0.008612,0.000035
1907,0.008335,0.000034
1908,0.008341,0.000041
1909,0.008413,0.000027
1910,0.008109,0.000032
1911,0.007787,0.000029
1912,0.006719,0.000020
1913,0.006467,0.000033
1914,0.006234,0.000020
1915,0.006200,0.000020
1916,0.006039,0.000016
1917,0.005887,0.000013
1918,0.005797,0.000012
1919,0.005691,0.000018
1920,0.005632,0.000014
1921,0.005355,0.000016
1922,0.005204,0.000014
1923,0.004997,0.000016
1924,0.004862,0.000015
1925,0.004684,0.000015
1926,0.004629,0.000024
1927,0.004448,0.000019
1928,0.004110,0.000018
1929,0.004178,0.000021
1930,0.003790,0.000015
1931,0.003586,0.000021
1932,0.003275,0.000017
1933,0.003120,0.000016
1934,0.003046,0.000017
1935,0.003013,0.000014
1936,0.002952,0.000017
1937,0.002852,0.000016
1938,0.002694,0.000014
1939,0.002673,0.000016
1940,0.002408,0.000011
1941,0.002525,0.000014
1942,0.002400,0.000013
1943,0.002118,0.000010
1944,0.001968,0.000010
1945,0.001916,0.000008
1946,0.001803,0.000005
1947,0.001682,0.000004
1948,0.001676,0.000005
1949,0.001523,0.000002
1950,0.001493,0.000003
1951,0.001371,0.000003
1952,0.001309,0.000004
1953,0.001287,0.000004
1954,0.001335,0.000004
1955,0.001227,0.000004
1956,0.001163,0.000004
1957,0.001158,0.000003
1958,0.001086,0.000005
1959,0.001126,0.000004
1960,0.001137,0.000004
1961,0.001050,0.000004
1962,0.000995,0.000004
1963,0.001012,0.000005
1964,0.000974,0.000003
1965,0.000962,0.000005
1966,0.000887,0.000002
1967,0.000806,0.000006
1968,0.000703,0.000003
1969,0.000646,0.000003
1970,0.000606,0.000006
1971,0.000584,0.000006
1972,0.000561,0.000004
1973,0.000537,0.000006
1974,0.000497,0.000005
1975,0.000539,0.000006
1976,0.000578,0.000004
1977,0.000601,0.000005
1978,0.000586,0.000003
1979,0.000565,0.000007
1980,0.000565,0.000003
1981,0.000574,0.000005
1982,0.000548,0.000007
1983,0.000505,0.000006
1984,0.000455,0.000007
1985,0.000423,0.000006
1986,0.000428,0.000006
1987,0.000415,0.000007
1988,0.000388,0.000004
1989,0.000358,0.000004
1990,0.000339,0.000004
1991,0.000324,0.000004
1992,0.000303,0.000001
1993,0.000279,0.000000
1994,0.000247,0.000000
1995,0.000233,0.000000
1996,0.000222,0.000002
1997,0.000217,0.000000
1998,0.000215,0.000000
1999,0.000223,0.000000
2000,0.000208,0.000000
2001,0.000193,0.000000
2002,0.000183,0.000000
2003,0.000149,0.000000
2004,0.000157,0.000000
2005,0.000154,0.000000
2006,0.000131,0.000000
2007,0.000138,0.000000
2008,0.000144,0.000000
2009,0.000140,0.000000
2010,0.000139,0.000000
2011,0.000131,0.000000
2012,0.000140,0.000000
