year,Matilde
1880,0
1881,0
1882,0
1883,10
1884,0
1885,0
1886,7
1887,0
1888,6
1889,5
1890,7
1891,7
1892,6
1893,0
1894,7
1895,0
1896,10
1897,0
1898,6
1899,9
1900,6
1901,6
1902,15
1903,15
1904,5
1905,9
1906,13
1907,12
1908,5
1909,16
1910,14
1911,10
1912,11
1913,7
1914,18
1915,27
1916,28
1917,17
1918,20
1919,25
1920,42
1921,39
1922,33
1923,41
1924,52
1925,47
1926,39
1927,74
1928,43
1929,59
1930,64
1931,58
1932,49
1933,51
1934,47
1935,20
1936,42
1937,20
1938,30
1939,18
1940,27
1941,19
1942,17
1943,17
1944,29
1945,16
1946,25
1947,23
1948,28
1949,28
1950,19
1951,12
1952,21
1953,17
1954,25
1955,32
1956,18
1957,31
1958,21
1959,24
1960,15
1961,15
1962,18
1963,24
1964,28
1965,31
1966,33
1967,18
1968,26
1969,32
1970,31
1971,38
1972,30
1973,29
1974,29
1975,35
1976,41
1977,28
1978,17
1979,31
1980,29
1981,22
1982,34
1983,25
1984,24
1985,16
1986,15
1987,15
1988,12
1989,16
1990,24
1991,23
1992,31
1993,19
1994,12
1995,15
1996,16
1997,23
1998,19
1999,19
2000,20
2001,20
2002,19
2003,23
2004,30
2005,35
2006,36
2007,26
2008,37
2009,31
2010,30
2011,27
2012,29
