year,Marcelina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,8
1893,0
1894,7
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,9
1905,6
1906,7
1907,6
1908,6
1909,5
1910,0
1911,5
1912,5
1913,9
1914,23
1915,21
1916,20
1917,19
1918,21
1919,23
1920,26
1921,32
1922,19
1923,28
1924,42
1925,31
1926,43
1927,35
1928,37
1929,39
1930,39
1931,27
1932,34
1933,39
1934,54
1935,25
1936,33
1937,20
1938,25
1939,24
1940,22
1941,23
1942,18
1943,15
1944,23
1945,15
1946,20
1947,23
1948,29
1949,24
1950,13
1951,22
1952,15
1953,23
1954,13
1955,16
1956,16
1957,16
1958,13
1959,20
1960,23
1961,10
1962,11
1963,26
1964,24
1965,27
1966,24
1967,17
1968,15
1969,16
1970,22
1971,24
1972,20
1973,23
1974,38
1975,36
1976,18
1977,42
1978,34
1979,37
1980,37
1981,45
1982,32
1983,43
1984,29
1985,25
1986,26
1987,36
1988,30
1989,34
1990,39
1991,36
1992,30
1993,47
1994,40
1995,38
1996,33
1997,41
1998,37
1999,37
2000,40
2001,48
2002,30
2003,29
2004,28
2005,34
2006,34
2007,36
2008,37
2009,35
2010,35
2011,20
2012,25
