year,Mary (F),Mary (M)
1880,0.035065,0.000134
1881,0.035906,0.000150
1882,0.036779,0.000135
1883,0.036930,0.000147
1884,0.037857,0.000148
1885,0.037898,0.000158
1886,0.038736,0.000125
1887,0.039968,0.000190
1888,0.039248,0.000167
1889,0.040311,0.000142
1890,0.040073,0.000116
1891,0.040823,0.000136
1892,0.039398,0.000150
1893,0.039308,0.000169
1894,0.038828,0.000142
1895,0.038305,0.000134
1896,0.038633,0.000159
1897,0.038659,0.000182
1898,0.037765,0.000131
1899,0.038828,0.000147
1900,0.037099,0.000167
1901,0.037985,0.000168
1902,0.037457,0.000145
1903,0.037447,0.000165
1904,0.037081,0.000144
1905,0.037898,0.000160
1906,0.038206,0.000177
1907,0.037774,0.000150
1908,0.038199,0.000162
1909,0.037670,0.000156
1910,0.038677,0.000168
1911,0.037858,0.000152
1912,0.032693,0.000119
1913,0.032224,0.000110
1914,0.032016,0.000090
1915,0.031753,0.000087
1916,0.031760,0.000085
1917,0.032031,0.000079
1918,0.031030,0.000078
1919,0.031197,0.000073
1920,0.031369,0.000086
1921,0.031691,0.000080
1922,0.031527,0.000081
1923,0.031110,0.000088
1924,0.030870,0.000094
1925,0.030258,0.000112
1926,0.029545,0.000118
1927,0.030457,0.000122
1928,0.029578,0.000130
1929,0.028977,0.000149
1930,0.028852,0.000153
1931,0.028665,0.000155
1932,0.028363,0.000156
1933,0.027763,0.000158
1934,0.027411,0.000146
1935,0.026357,0.000132
1936,0.026172,0.000141
1937,0.026120,0.000135
1938,0.025411,0.000128
1939,0.024920,0.000123
1940,0.024411,0.000132
1941,0.023823,0.000129
1942,0.023155,0.000101
1943,0.023447,0.000090
1944,0.023226,0.000094
1945,0.022350,0.000075
1946,0.021117,0.000058
1947,0.019901,0.000051
1948,0.019869,0.000047
1949,0.019195,0.000049
1950,0.018681,0.000034
1951,0.017842,0.000043
1952,0.017295,0.000042
1953,0.016713,0.000038
1954,0.017088,0.000042
1955,0.015742,0.000037
1956,0.014984,0.000035
1957,0.014545,0.000044
1958,0.013517,0.000034
1959,0.013106,0.000041
1960,0.012390,0.000041
1961,0.011513,0.000040
1962,0.010778,0.000039
1963,0.010495,0.000034
1964,0.010542,0.000034
1965,0.009451,0.000038
1966,0.008310,0.000031
1967,0.007456,0.000037
1968,0.006428,0.000030
1969,0.005710,0.000031
1970,0.005322,0.000027
1971,0.004865,0.000025
1972,0.004378,0.000024
1973,0.004084,0.000018
1974,0.003865,0.000020
1975,0.003631,0.000022
1976,0.003402,0.000020
1977,0.003356,0.000016
1978,0.003167,0.000019
1979,0.003172,0.000020
1980,0.003332,0.000015
1981,0.003192,0.000019
1982,0.003094,0.000021
1983,0.002858,0.000016
1984,0.002664,0.000016
1985,0.002590,0.000019
1986,0.002392,0.000013
1987,0.002329,0.000019
1988,0.002304,0.000013
1989,0.002248,0.000019
1990,0.002193,0.000011
1991,0.002249,0.000008
1992,0.002200,0.000007
1993,0.002150,0.000005
1994,0.002083,0.000003
1995,0.002028,0.000004
1996,0.001903,0.000004
1997,0.001828,0.000004
1998,0.001747,0.000004
1999,0.001722,0.000003
2000,0.001636,0.000003
2001,0.001530,0.000003
2002,0.001459,0.000003
2003,0.001317,0.000002
2004,0.001258,0.000008
2005,0.001158,0.000003
2006,0.001033,0.000003
2007,0.000920,0.000003
2008,0.000889,0.000000
2009,0.000827,0.000000
2010,0.000776,0.000000
2011,0.000741,0.000000
2012,0.000703,0.000002
2013,0.000721,0.000000
