year,Maurine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,7
1892,10
1893,9
1894,10
1895,28
1896,17
1897,27
1898,35
1899,43
1900,48
1901,42
1902,39
1903,53
1904,58
1905,69
1906,100
1907,82
1908,99
1909,98
1910,122
1911,119
1912,161
1913,213
1914,246
1915,312
1916,275
1917,313
1918,302
1919,284
1920,266
1921,281
1922,256
1923,260
1924,265
1925,269
1926,239
1927,244
1928,196
1929,171
1930,204
1931,167
1932,144
1933,127
1934,119
1935,122
1936,106
1937,110
1938,110
1939,86
1940,91
1941,87
1942,93
1943,83
1944,96
1945,69
1946,96
1947,69
1948,76
1949,86
1950,76
1951,72
1952,70
1953,61
1954,46
1955,54
1956,46
1957,50
1958,34
1959,45
1960,41
1961,36
1962,31
1963,39
1964,33
1965,30
1966,25
1967,14
1968,23
1969,19
1970,15
1971,21
1972,16
1973,16
1974,17
1975,12
1976,8
1977,11
1978,8
1979,9
1980,9
1981,9
1982,12
1983,14
1984,8
1985,10
1986,0
1987,0
1988,7
1989,11
1990,0
1991,0
1992,0
1993,7
1994,7
1995,5
1996,7
1997,7
1998,6
1999,0
2000,0
2001,0
2002,8
2003,0
2004,7
2005,7
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
