year,Murrell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,6
1901,0
1902,5
1903,0
1904,6
1905,5
1906,0
1907,0
1908,0
1909,13
1910,0
1911,8
1912,18
1913,16
1914,36
1915,36
1916,26
1917,25
1918,33
1919,48
1920,31
1921,40
1922,45
1923,37
1924,32
1925,27
1926,34
1927,30
1928,33
1929,20
1930,27
1931,21
1932,18
1933,27
1934,29
1935,22
1936,26
1937,24
1938,16
1939,29
1940,22
1941,29
1942,28
1943,22
1944,21
1945,17
1946,18
1947,23
1948,16
1949,10
1950,9
1951,13
1952,12
1953,15
1954,19
1955,8
1956,12
1957,9
1958,12
1959,0
1960,9
1961,12
1962,6
1963,10
1964,7
1965,5
1966,0
1967,0
1968,0
1969,8
1970,10
1971,0
1972,7
1973,5
1974,0
1975,0
1976,5
1977,5
1978,5
1979,0
1980,0
1981,6
1982,7
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
