year,Minerva
1880,63
1881,53
1882,56
1883,52
1884,73
1885,77
1886,65
1887,64
1888,79
1889,79
1890,89
1891,59
1892,82
1893,61
1894,82
1895,75
1896,98
1897,74
1898,79
1899,82
1900,101
1901,84
1902,88
1903,76
1904,64
1905,88
1906,84
1907,63
1908,85
1909,95
1910,100
1911,114
1912,111
1913,145
1914,139
1915,205
1916,181
1917,211
1918,200
1919,185
1920,204
1921,202
1922,197
1923,154
1924,182
1925,185
1926,143
1927,156
1928,154
1929,158
1930,157
1931,137
1932,146
1933,125
1934,126
1935,101
1936,104
1937,116
1938,120
1939,114
1940,105
1941,118
1942,123
1943,150
1944,156
1945,112
1946,143
1947,130
1948,147
1949,154
1950,145
1951,168
1952,169
1953,196
1954,185
1955,221
1956,193
1957,211
1958,206
1959,179
1960,209
1961,213
1962,157
1963,179
1964,148
1965,154
1966,129
1967,154
1968,117
1969,124
1970,127
1971,120
1972,110
1973,128
1974,91
1975,100
1976,124
1977,95
1978,74
1979,102
1980,97
1981,112
1982,90
1983,76
1984,64
1985,82
1986,84
1987,71
1988,70
1989,91
1990,90
1991,81
1992,84
1993,66
1994,71
1995,61
1996,57
1997,56
1998,52
1999,48
2000,51
2001,45
2002,54
2003,61
2004,58
2005,59
2006,65
2007,72
2008,47
2009,41
2010,37
2011,38
2012,39
