year,Magdalena
1880,19
1881,20
1882,33
1883,27
1884,31
1885,32
1886,40
1887,26
1888,41
1889,37
1890,25
1891,41
1892,26
1893,58
1894,46
1895,31
1896,42
1897,29
1898,38
1899,28
1900,32
1901,37
1902,37
1903,40
1904,28
1905,32
1906,33
1907,32
1908,28
1909,47
1910,36
1911,40
1912,53
1913,49
1914,56
1915,76
1916,85
1917,68
1918,79
1919,62
1920,84
1921,96
1922,80
1923,106
1924,113
1925,96
1926,86
1927,112
1928,102
1929,92
1930,90
1931,93
1932,81
1933,85
1934,63
1935,83
1936,54
1937,67
1938,63
1939,60
1940,67
1941,73
1942,64
1943,81
1944,64
1945,61
1946,75
1947,92
1948,120
1949,113
1950,95
1951,140
1952,114
1953,122
1954,122
1955,132
1956,139
1957,124
1958,142
1959,155
1960,164
1961,168
1962,187
1963,158
1964,170
1965,168
1966,150
1967,135
1968,117
1969,153
1970,158
1971,158
1972,127
1973,165
1974,156
1975,167
1976,161
1977,169
1978,147
1979,181
1980,168
1981,168
1982,200
1983,144
1984,149
1985,141
1986,201
1987,168
1988,168
1989,169
1990,209
1991,191
1992,217
1993,269
1994,262
1995,262
1996,250
1997,287
1998,262
1999,241
2000,244
2001,268
2002,225
2003,261
2004,312
2005,319
2006,294
2007,324
2008,309
2009,270
2010,229
2011,213
2012,215
