year,Millie
1880,105
1881,124
1882,122
1883,155
1884,144
1885,152
1886,170
1887,168
1888,213
1889,174
1890,204
1891,192
1892,193
1893,198
1894,185
1895,181
1896,213
1897,204
1898,197
1899,192
1900,229
1901,196
1902,185
1903,189
1904,181
1905,193
1906,213
1907,213
1908,177
1909,219
1910,252
1911,216
1912,293
1913,342
1914,410
1915,530
1916,535
1917,584
1918,513
1919,514
1920,492
1921,501
1922,473
1923,421
1924,395
1925,376
1926,387
1927,343
1928,312
1929,278
1930,264
1931,295
1932,300
1933,307
1934,273
1935,275
1936,250
1937,210
1938,216
1939,241
1940,238
1941,224
1942,230
1943,226
1944,221
1945,219
1946,223
1947,247
1948,242
1949,212
1950,183
1951,224
1952,191
1953,188
1954,187
1955,180
1956,207
1957,189
1958,183
1959,198
1960,156
1961,153
1962,153
1963,162
1964,151
1965,142
1966,110
1967,82
1968,77
1969,101
1970,97
1971,103
1972,68
1973,90
1974,80
1975,76
1976,61
1977,52
1978,64
1979,50
1980,53
1981,59
1982,47
1983,43
1984,40
1985,39
1986,41
1987,43
1988,37
1989,59
1990,44
1991,49
1992,35
1993,43
1994,49
1995,42
1996,33
1997,50
1998,60
1999,58
2000,81
2001,84
2002,89
2003,173
2004,141
2005,129
2006,133
2007,151
2008,260
2009,319
2010,310
2011,326
2012,383
