year,Millicent
1880,8
1881,0
1882,6
1883,9
1884,5
1885,9
1886,11
1887,10
1888,11
1889,15
1890,16
1891,9
1892,10
1893,15
1894,16
1895,11
1896,16
1897,19
1898,14
1899,15
1900,27
1901,11
1902,23
1903,27
1904,23
1905,24
1906,32
1907,30
1908,39
1909,42
1910,54
1911,63
1912,71
1913,111
1914,108
1915,147
1916,120
1917,160
1918,141
1919,144
1920,189
1921,179
1922,180
1923,176
1924,211
1925,208
1926,220
1927,249
1928,226
1929,176
1930,169
1931,150
1932,150
1933,139
1934,132
1935,109
1936,155
1937,131
1938,113
1939,89
1940,101
1941,102
1942,102
1943,100
1944,96
1945,82
1946,84
1947,104
1948,109
1949,112
1950,103
1951,98
1952,82
1953,107
1954,118
1955,126
1956,110
1957,107
1958,98
1959,106
1960,119
1961,112
1962,107
1963,110
1964,107
1965,109
1966,91
1967,80
1968,100
1969,84
1970,103
1971,89
1972,69
1973,70
1974,63
1975,76
1976,65
1977,70
1978,54
1979,51
1980,62
1981,64
1982,59
1983,63
1984,46
1985,54
1986,54
1987,44
1988,55
1989,38
1990,47
1991,41
1992,58
1993,43
1994,35
1995,32
1996,40
1997,48
1998,30
1999,36
2000,43
2001,43
2002,31
2003,48
2004,51
2005,34
2006,41
2007,54
2008,62
2009,51
2010,68
2011,67
2012,73
