year,Marietta
1880,21
1881,21
1882,17
1883,26
1884,24
1885,18
1886,24
1887,28
1888,37
1889,15
1890,33
1891,16
1892,29
1893,22
1894,43
1895,38
1896,43
1897,34
1898,47
1899,41
1900,57
1901,49
1902,47
1903,33
1904,48
1905,37
1906,49
1907,45
1908,56
1909,64
1910,61
1911,91
1912,123
1913,111
1914,163
1915,216
1916,213
1917,236
1918,245
1919,264
1920,234
1921,295
1922,285
1923,264
1924,246
1925,238
1926,214
1927,215
1928,248
1929,201
1930,231
1931,220
1932,198
1933,185
1934,169
1935,221
1936,240
1937,250
1938,278
1939,235
1940,234
1941,232
1942,233
1943,221
1944,202
1945,189
1946,214
1947,238
1948,246
1949,223
1950,267
1951,227
1952,240
1953,239
1954,225
1955,240
1956,169
1957,225
1958,182
1959,193
1960,206
1961,186
1962,174
1963,142
1964,165
1965,103
1966,90
1967,95
1968,85
1969,80
1970,75
1971,56
1972,55
1973,57
1974,46
1975,36
1976,39
1977,49
1978,41
1979,40
1980,44
1981,55
1982,51
1983,44
1984,31
1985,37
1986,30
1987,30
1988,40
1989,32
1990,38
1991,28
1992,32
1993,32
1994,26
1995,26
1996,22
1997,31
1998,15
1999,21
2000,17
2001,24
2002,20
2003,21
2004,21
2005,20
2006,19
2007,16
2008,13
2009,26
2010,22
2011,22
2012,17
