year,Madelon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,8
1900,7
1901,5
1902,9
1903,0
1904,7
1905,9
1906,5
1907,9
1908,10
1909,13
1910,16
1911,11
1912,21
1913,14
1914,30
1915,27
1916,34
1917,39
1918,36
1919,44
1920,53
1921,41
1922,38
1923,24
1924,33
1925,40
1926,36
1927,26
1928,30
1929,32
1930,29
1931,25
1932,43
1933,31
1934,23
1935,20
1936,22
1937,22
1938,14
1939,24
1940,26
1941,40
1942,46
1943,27
1944,23
1945,21
1946,36
1947,50
1948,38
1949,38
1950,31
1951,32
1952,16
1953,20
1954,8
1955,16
1956,16
1957,7
1958,9
1959,8
1960,5
1961,9
1962,0
1963,11
1964,11
1965,0
1966,7
1967,6
1968,0
1969,5
1970,5
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,10
1988,0
1989,12
1990,5
1991,6
1992,11
1993,11
1994,7
1995,10
1996,13
1997,16
1998,18
1999,6
2000,16
2001,16
2002,14
2003,9
2004,7
2005,0
2006,10
2007,0
2008,11
2009,5
2010,0
2011,6
2012,6
