year,Marguerite
1880,48
1881,52
1882,52
1883,70
1884,95
1885,86
1886,125
1887,178
1888,235
1889,315
1890,442
1891,511
1892,535
1893,638
1894,624
1895,680
1896,725
1897,728
1898,800
1899,693
1900,786
1901,699
1902,695
1903,667
1904,684
1905,753
1906,791
1907,894
1908,913
1909,1036
1910,1086
1911,1112
1912,1620
1913,1827
1914,2055
1915,2687
1916,3039
1917,3161
1918,3255
1919,2842
1920,3059
1921,2898
1922,2655
1923,2358
1924,2247
1925,2069
1926,1876
1927,1700
1928,1582
1929,1371
1930,1297
1931,1191
1932,1006
1933,895
1934,939
1935,828
1936,792
1937,807
1938,825
1939,772
1940,757
1941,782
1942,813
1943,846
1944,762
1945,692
1946,800
1947,853
1948,916
1949,899
1950,903
1951,854
1952,842
1953,831
1954,789
1955,720
1956,654
1957,679
1958,609
1959,557
1960,518
1961,507
1962,462
1963,383
1964,389
1965,361
1966,292
1967,228
1968,193
1969,175
1970,187
1971,127
1972,127
1973,115
1974,105
1975,118
1976,113
1977,104
1978,100
1979,97
1980,90
1981,114
1982,91
1983,123
1984,121
1985,113
1986,117
1987,130
1988,129
1989,125
1990,124
1991,134
1992,108
1993,95
1994,134
1995,120
1996,112
1997,110
1998,114
1999,106
2000,112
2001,107
2002,101
2003,106
2004,103
2005,74
2006,84
2007,82
2008,89
2009,71
2010,77
2011,67
2012,67
