year,Ulyses
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,0
1907,6
1908,0
1909,6
1910,0
1911,10
1912,10
1913,10
1914,14
1915,19
1916,26
1917,19
1918,11
1919,11
1920,21
1921,21
1922,10
1923,25
1924,20
1925,23
1926,16
1927,22
1928,23
1929,17
1930,20
1931,20
1932,28
1933,18
1934,9
1935,16
1936,12
1937,13
1938,9
1939,0
1940,20
1941,9
1942,11
1943,7
1944,8
1945,8
1946,6
1947,16
1948,10
1949,8
1950,9
1951,9
1952,6
1953,6
1954,8
1955,0
1956,8
1957,9
1958,5
1959,6
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,11
1968,6
1969,0
1970,6
1971,9
1972,7
1973,0
1974,5
1975,0
1976,6
1977,7
1978,9
1979,0
1980,0
1981,15
1982,10
1983,7
1984,8
1985,8
1986,0
1987,0
1988,6
1989,22
1990,21
1991,20
1992,11
1993,18
1994,12
1995,12
1996,29
1997,20
1998,43
1999,24
2000,30
2001,33
2002,36
2003,25
2004,28
2005,27
2006,22
2007,25
2008,17
2009,21
2010,20
2011,14
2012,16
