year,Uriah
1880,10
1881,6
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,9
1891,10
1892,0
1893,5
1894,6
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,5
1913,9
1914,8
1915,19
1916,16
1917,15
1918,10
1919,15
1920,16
1921,14
1922,13
1923,5
1924,8
1925,13
1926,7
1927,9
1928,11
1929,10
1930,9
1931,11
1932,8
1933,0
1934,0
1935,6
1936,6
1937,0
1938,9
1939,0
1940,0
1941,10
1942,6
1943,0
1944,7
1945,5
1946,0
1947,0
1948,8
1949,5
1950,0
1951,0
1952,5
1953,5
1954,7
1955,9
1956,5
1957,6
1958,5
1959,0
1960,0
1961,5
1962,0
1963,6
1964,6
1965,0
1966,0
1967,0
1968,5
1969,5
1970,10
1971,11
1972,25
1973,64
1974,70
1975,57
1976,85
1977,87
1978,93
1979,81
1980,93
1981,81
1982,87
1983,61
1984,65
1985,73
1986,81
1987,111
1988,93
1989,126
1990,80
1991,99
1992,128
1993,103
1994,114
1995,126
1996,120
1997,152
1998,132
1999,158
2000,175
2001,144
2002,156
2003,148
2004,149
2005,154
2006,197
2007,225
2008,368
2009,475
2010,485
2011,457
2012,473
