year,Ula
1880,5
1881,0
1882,7
1883,0
1884,5
1885,10
1886,0
1887,7
1888,0
1889,11
1890,10
1891,8
1892,0
1893,6
1894,5
1895,8
1896,11
1897,5
1898,22
1899,9
1900,12
1901,16
1902,14
1903,9
1904,11
1905,9
1906,16
1907,10
1908,11
1909,14
1910,22
1911,15
1912,14
1913,15
1914,23
1915,30
1916,40
1917,36
1918,37
1919,54
1920,48
1921,37
1922,51
1923,52
1924,64
1925,36
1926,44
1927,40
1928,21
1929,33
1930,31
1931,31
1932,18
1933,21
1934,28
1935,11
1936,27
1937,12
1938,20
1939,12
1940,14
1941,11
1942,9
1943,16
1944,18
1945,14
1946,15
1947,15
1948,9
1949,14
1950,10
1951,10
1952,9
1953,8
1954,9
1955,15
1956,0
1957,12
1958,6
1959,9
1960,7
1961,0
1962,8
1963,13
1964,8
1965,0
1966,5
1967,0
1968,5
1969,6
1970,7
1971,7
1972,8
1973,0
1974,0
1975,5
1976,7
1977,8
1978,0
1979,0
1980,0
1981,8
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,6
1997,0
1998,0
1999,0
2000,5
2001,5
2002,8
2003,9
2004,0
2005,8
2006,8
2007,9
2008,0
2009,8
2010,8
2011,0
2012,5
