year,Ulysses
1880,29
1881,18
1882,15
1883,14
1884,23
1885,33
1886,38
1887,27
1888,25
1889,19
1890,32
1891,34
1892,27
1893,36
1894,34
1895,43
1896,32
1897,25
1898,33
1899,14
1900,34
1901,25
1902,21
1903,21
1904,29
1905,25
1906,32
1907,38
1908,33
1909,36
1910,43
1911,51
1912,75
1913,99
1914,111
1915,133
1916,160
1917,159
1918,187
1919,164
1920,190
1921,204
1922,194
1923,202
1924,176
1925,192
1926,173
1927,180
1928,175
1929,157
1930,149
1931,147
1932,160
1933,146
1934,144
1935,171
1936,120
1937,122
1938,153
1939,144
1940,154
1941,138
1942,144
1943,155
1944,156
1945,114
1946,159
1947,168
1948,197
1949,173
1950,167
1951,177
1952,183
1953,164
1954,172
1955,163
1956,165
1957,163
1958,153
1959,143
1960,149
1961,151
1962,136
1963,127
1964,123
1965,110
1966,106
1967,144
1968,115
1969,125
1970,110
1971,117
1972,104
1973,108
1974,97
1975,108
1976,114
1977,96
1978,123
1979,123
1980,121
1981,123
1982,105
1983,103
1984,110
1985,124
1986,143
1987,170
1988,179
1989,177
1990,184
1991,164
1992,151
1993,146
1994,139
1995,140
1996,178
1997,155
1998,214
1999,272
2000,216
2001,226
2002,207
2003,145
2004,155
2005,177
2006,178
2007,191
2008,191
2009,195
2010,183
2011,179
2012,167
