year,Lyndon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,8
1907,5
1908,0
1909,0
1910,12
1911,6
1912,14
1913,15
1914,21
1915,39
1916,34
1917,28
1918,36
1919,38
1920,37
1921,38
1922,41
1923,30
1924,32
1925,38
1926,33
1927,32
1928,31
1929,36
1930,34
1931,33
1932,30
1933,25
1934,39
1935,41
1936,36
1937,31
1938,33
1939,41
1940,46
1941,90
1942,78
1943,102
1944,71
1945,48
1946,69
1947,64
1948,73
1949,74
1950,71
1951,79
1952,63
1953,66
1954,79
1955,95
1956,140
1957,158
1958,162
1959,192
1960,246
1961,207
1962,148
1963,177
1964,517
1965,307
1966,161
1967,101
1968,86
1969,89
1970,60
1971,42
1972,33
1973,56
1974,51
1975,47
1976,51
1977,46
1978,41
1979,46
1980,53
1981,53
1982,69
1983,72
1984,68
1985,82
1986,101
1987,100
1988,93
1989,128
1990,94
1991,102
1992,78
1993,84
1994,83
1995,77
1996,85
1997,100
1998,106
1999,93
2000,79
2001,70
2002,63
2003,91
2004,102
2005,99
2006,95
2007,123
2008,105
2009,123
2010,119
2011,137
2012,131
