year,Laurena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,5
1894,0
1895,7
1896,0
1897,10
1898,7
1899,6
1900,6
1901,7
1902,5
1903,6
1904,6
1905,8
1906,0
1907,12
1908,10
1909,12
1910,6
1911,9
1912,7
1913,7
1914,12
1915,12
1916,13
1917,14
1918,15
1919,11
1920,16
1921,15
1922,16
1923,10
1924,12
1925,12
1926,5
1927,11
1928,6
1929,0
1930,7
1931,10
1932,9
1933,5
1934,0
1935,10
1936,8
1937,10
1938,7
1939,11
1940,6
1941,9
1942,10
1943,8
1944,5
1945,10
1946,5
1947,5
1948,9
1949,6
1950,10
1951,12
1952,9
1953,8
1954,9
1955,11
1956,15
1957,11
1958,8
1959,11
1960,6
1961,16
1962,6
1963,16
1964,12
1965,11
1966,13
1967,5
1968,10
1969,8
1970,15
1971,12
1972,7
1973,0
1974,9
1975,8
1976,11
1977,8
1978,8
1979,5
1980,7
1981,12
1982,5
1983,6
1984,14
1985,11
1986,12
1987,9
1988,9
1989,10
1990,8
1991,12
1992,8
1993,8
1994,11
1995,12
1996,7
1997,12
1998,9
1999,7
2000,6
2001,9
2002,0
2003,0
2004,7
2005,0
2006,11
2007,0
2008,0
2009,8
2010,0
2011,0
2012,0
