year,Loree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,7
1897,0
1898,0
1899,9
1900,7
1901,0
1902,8
1903,10
1904,7
1905,0
1906,9
1907,8
1908,9
1909,12
1910,26
1911,11
1912,23
1913,29
1914,29
1915,38
1916,38
1917,39
1918,41
1919,47
1920,49
1921,52
1922,46
1923,37
1924,50
1925,32
1926,42
1927,50
1928,34
1929,39
1930,32
1931,30
1932,26
1933,23
1934,31
1935,23
1936,24
1937,28
1938,28
1939,13
1940,18
1941,21
1942,21
1943,22
1944,17
1945,25
1946,33
1947,28
1948,26
1949,40
1950,24
1951,39
1952,54
1953,57
1954,54
1955,70
1956,79
1957,74
1958,60
1959,77
1960,82
1961,82
1962,93
1963,104
1964,84
1965,94
1966,73
1967,68
1968,86
1969,67
1970,62
1971,46
1972,37
1973,54
1974,46
1975,36
1976,35
1977,37
1978,30
1979,38
1980,36
1981,31
1982,24
1983,25
1984,16
1985,10
1986,20
1987,12
1988,15
1989,13
1990,18
1991,7
1992,5
1993,8
1994,0
1995,8
1996,7
1997,0
1998,0
1999,0
2000,6
2001,7
2002,5
2003,0
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
