year,Lorenza
1880,0
1881,6
1882,5
1883,0
1884,6
1885,0
1886,6
1887,0
1888,14
1889,6
1890,0
1891,0
1892,5
1893,11
1894,14
1895,12
1896,7
1897,6
1898,14
1899,9
1900,6
1901,17
1902,18
1903,16
1904,11
1905,19
1906,11
1907,17
1908,21
1909,23
1910,25
1911,28
1912,29
1913,37
1914,71
1915,59
1916,70
1917,61
1918,78
1919,78
1920,113
1921,91
1922,82
1923,101
1924,89
1925,88
1926,82
1927,88
1928,105
1929,88
1930,84
1931,75
1932,84
1933,69
1934,59
1935,75
1936,61
1937,68
1938,66
1939,67
1940,62
1941,63
1942,90
1943,80
1944,77
1945,77
1946,82
1947,90
1948,82
1949,98
1950,101
1951,94
1952,103
1953,96
1954,90
1955,78
1956,106
1957,96
1958,101
1959,99
1960,84
1961,101
1962,75
1963,73
1964,68
1965,64
1966,56
1967,65
1968,71
1969,69
1970,73
1971,92
1972,76
1973,54
1974,59
1975,51
1976,49
1977,68
1978,56
1979,45
1980,45
1981,51
1982,45
1983,44
1984,39
1985,37
1986,48
1987,28
1988,47
1989,45
1990,41
1991,40
1992,32
1993,33
1994,31
1995,29
1996,25
1997,21
1998,21
1999,25
2000,28
2001,26
2002,27
2003,28
2004,31
2005,25
2006,27
2007,22
2008,18
2009,28
2010,25
2011,27
2012,15
