year,Leonor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,6
1889,0
1890,0
1891,0
1892,6
1893,6
1894,5
1895,0
1896,6
1897,5
1898,16
1899,9
1900,7
1901,8
1902,10
1903,16
1904,10
1905,7
1906,19
1907,13
1908,15
1909,31
1910,22
1911,26
1912,36
1913,33
1914,37
1915,45
1916,57
1917,47
1918,54
1919,65
1920,68
1921,88
1922,86
1923,78
1924,71
1925,75
1926,85
1927,74
1928,89
1929,90
1930,73
1931,61
1932,46
1933,43
1934,52
1935,57
1936,47
1937,64
1938,48
1939,59
1940,42
1941,39
1942,53
1943,44
1944,49
1945,40
1946,57
1947,58
1948,63
1949,61
1950,66
1951,45
1952,54
1953,68
1954,45
1955,39
1956,58
1957,52
1958,52
1959,70
1960,59
1961,56
1962,62
1963,51
1964,61
1965,64
1966,61
1967,53
1968,71
1969,60
1970,52
1971,69
1972,69
1973,56
1974,52
1975,56
1976,61
1977,60
1978,42
1979,60
1980,48
1981,58
1982,61
1983,39
1984,37
1985,45
1986,41
1987,36
1988,41
1989,39
1990,54
1991,52
1992,53
1993,40
1994,37
1995,51
1996,31
1997,40
1998,44
1999,43
2000,37
2001,31
2002,28
2003,33
2004,19
2005,30
2006,43
2007,42
2008,32
2009,29
2010,32
2011,31
2012,23
