year,Lela
1880,106
1881,125
1882,143
1883,163
1884,213
1885,168
1886,235
1887,207
1888,292
1889,268
1890,304
1891,337
1892,353
1893,358
1894,413
1895,388
1896,425
1897,438
1898,459
1899,417
1900,530
1901,443
1902,459
1903,420
1904,431
1905,465
1906,447
1907,453
1908,411
1909,414
1910,469
1911,489
1912,523
1913,595
1914,647
1915,774
1916,888
1917,828
1918,902
1919,904
1920,878
1921,907
1922,872
1923,822
1924,864
1925,817
1926,721
1927,686
1928,665
1929,635
1930,591
1931,557
1932,504
1933,516
1934,472
1935,427
1936,406
1937,418
1938,389
1939,360
1940,335
1941,354
1942,370
1943,344
1944,327
1945,328
1946,301
1947,322
1948,324
1949,355
1950,266
1951,235
1952,269
1953,249
1954,249
1955,244
1956,238
1957,209
1958,218
1959,205
1960,169
1961,195
1962,165
1963,168
1964,166
1965,147
1966,126
1967,103
1968,133
1969,106
1970,132
1971,112
1972,106
1973,127
1974,101
1975,85
1976,93
1977,101
1978,105
1979,106
1980,82
1981,110
1982,92
1983,104
1984,90
1985,94
1986,75
1987,84
1988,66
1989,67
1990,76
1991,80
1992,56
1993,72
1994,52
1995,57
1996,76
1997,63
1998,63
1999,92
2000,118
2001,110
2002,106
2003,122
2004,134
2005,142
2006,152
2007,175
2008,157
2009,160
2010,145
2011,141
2012,175
